Name,Definition,Synonym,Output
Alzheimer's disease 1,An Alzheimer's disease that has_material_basis_in mutation in the gene encoding the amyloid precursor protein on chromosome 21q.,Pheochromocytoma,Alzheimer's disease
Alzheimer's disease 2,An Alzheimer's disease that is characterized by an association of the apolipoprotein E E4 allele.,Alzheimer disease-2,Alzheimer's disease
Alzheimer's disease 16,An Alzheimer's disease that is characterized by an associated with a risk allele in in the PCDH11X gene on chromosome Xq21.3.,AD16,Alzheimer's disease
Alzheimer's disease 5,An Alzheimer's disease that is characterized by an associated with variation in  the region 12p11.23-q13.12.,Alzheimer disease,Alzheimer's disease
Alzheimer's disease 6,An Alzheimer's disease that is characterized by an associated with variation in  the region 10q24.,Alzheimer disease 6,Alzheimer's disease
Alzheimer's disease 7,An Alzheimer's disease that is characterized by an associated with variation in  the region 10p13.,Alzheimer disease,Alzheimer's disease
Alzheimer's disease 4,An Alzheimer's disease that has_material_basis_in a mutation in the presenilin-2 gene (PSEN2) on chromosome 1q42.,Alzheimer disease,Alzheimer's disease
Alzheimer's disease 8,An Alzheimer's disease that is characterized by an associated with variation in the region 20p12.2-q11.21.,Alzheimer disease,Alzheimer's disease
Alzheimer's disease 3,An Alzheimer's disease that has_material_basis_in mutation in the presenilin-1 gene (PSEN1) on chromosome 14q24.,Alzheimer disease familial 3,Alzheimer's disease
Alzheimer's disease 10,An Alzheimer's disease that is characterized by an associated with variation in the region 7q36.,Alzheimer disease familial 10,Alzheimer's disease
Alzheimer's disease 11,An Alzheimer's disease that is characterized by an associated with variation in the region 9p22.1.,Alzheimer disease 11,Alzheimer's disease
Alzheimer's disease 12,An Alzheimer's disease that is characterized by an associated with variation in the region 8p12-q22.,Alzheimer disease familial 12,Alzheimer's disease
Alzheimer's disease 13,An Alzheimer's disease that is characterized by an associated with variation in the region 1q21.,Alzheimer disease 13,Alzheimer's disease
Alzheimer's disease 14,An Alzheimer's disease that is characterized by an associated with variation in the region 1q25.,Alzheimer disease 14,Alzheimer's disease
Alzheimer's disease 15,An Alzheimer's disease that is characterized by an associated with variations in the region 3q22-q24.,Alzheimer disease 15,Alzheimer's disease
Alzheimer's disease 17,An Alzheimer's disease that is characterized by an associated with mutations in the gene TREM2.,Alzheimer disease 17,Alzheimer's disease
Alzheimer's disease 18,An Alzheimer's disease that has_material_basis_in a mutation in the ADAM10 gene on chromosome 15q21.,Alzheimer disease 18,Alzheimer's disease
Alzheimer's disease 19,An Alzheimer's disease that is characterized by associated variants of the gene PLD3.,Alzheimer disease 19 late onset,Alzheimer's disease
