Name,Definition,Synonym,Output
Bardet-Biedl syndrome 1,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the BBS1 gene on chromosome 11q13.,BBS1,Bardet-Biedl syndrome
Bardet-Biedl syndrome 2,A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutations in the BBS2 gene on chromosome 16q13.,BBS2,Bardet-Biedl syndrome
Bardet-Biedl syndrome 3,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the ARL6 gene on chromosome 3q11.,BBS3,Bardet-Biedl syndrome
Bardet-Biedl syndrome 4,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the BBS4 gene on chromosome 15q24.,BBS4,Bardet-Biedl syndrome
Bardet-Biedl syndrome 5,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the BBS5 gene on chromosome 2q31.,BBS5,Bardet-Biedl syndrome
Bardet-Biedl syndrome 6,A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the MKKS gene on chromosome 20p12.,BBS6,Bardet-Biedl syndrome
Bardet-Biedl syndrome 7,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the BBS7 gene on chromosome 4q27.,BBS7,Bardet-Biedl syndrome
Bardet-Biedl syndrome 8,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the TTC8 gene on chromosome 14q31.,BBS8,Bardet-Biedl syndrome
Bardet-Biedl syndrome 9,A Bardet-Biedl syndrome that has_material_basis_in homozygosity or compound heterozygosity for mutations in the PTHB1 gene on chromosome 7p14.,BBS9,Bardet-Biedl syndrome
Bardet-Biedl syndrome 10,A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the BBS10 gene on chromosome 12q21.,BBS10,Bardet-Biedl syndrome
Bardet-Biedl syndrome 11,A Bardet-Biedl syndrome that has_material_basis_in mutation in the TRIM32 gene on chromosome 9q33.,BBS11,Bardet-Biedl syndrome
Bardet-Biedl syndrome 12,A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the BBS12 gene on chromosome 4q27.,BBS12,Bardet-Biedl syndrome
Bardet-Biedl syndrome 13,A Bardet-Biedl syndrome that has_material_basis_in compound heterozygous mutation in the MKS1 gene on chromosome 17q22.,BBS13,Bardet-Biedl syndrome
Bardet-Biedl syndrome 14,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the CEP290 gene on chromosome 12q21.,BBS14,Bardet-Biedl syndrome
Bardet-Biedl syndrome 15,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the WDPCP gene on chromosome 2p15.,BBS15,Bardet-Biedl syndrome
Bardet-Biedl syndrome 16,A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutations in the SDCCAG8 gene on chromosome 1q43.,BBS16,Bardet-Biedl syndrome
Bardet-Biedl syndrome 17,A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the LZTFL1 gene on chromosome 3p21.,BBS17,Bardet-Biedl syndrome
Bardet-Biedl syndrome 18,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the BBIP1 gene on chromosome 10q25.,BBS18,Bardet-Biedl syndrome
Bardet-Biedl syndrome 19,A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the IFT27 gene on chromosome 22q12.,BBS19,Bardet-Biedl syndrome
