Name,Definition,Synonym,Output
Joubert syndrome with orofaciodigital defect,A Joubert syndrome that is characterized by orofaciodigital defect.,Varadi-Papp syndrome,Joubert syndrome
Joubert syndrome 30,A multiple mitochondrial dysfunctions syndrome that is characterized by progressive neurologic deterioration beginning in early infancy,Alwadei syndrome,Joubert syndrome
Joubert syndrome 29,A multiple mitochondrial dysfunctions syndrome that is characterized by progressive neurologic deterioration beginning in early infancy,Alwadei syndrome,Joubert syndrome
Joubert syndrome 31,A multiple mitochondrial dysfunctions syndrome that is characterized by progressive neurologic deterioration beginning in early infancy,Alwadei syndrome,Joubert syndrome
Joubert syndrome 32,A multiple mitochondrial dysfunctions syndrome that is characterized by progressive neurologic deterioration beginning in early infancy,Alwadei syndrome,Joubert syndrome
Joubert syndrome 33,A multiple mitochondrial dysfunctions syndrome that is characterized by progressive neurologic deterioration beginning in early infancy,Alwadei syndrome,Joubert syndrome
Joubert syndrome 1,A Joubert syndrome that has_material_basis_in homozygous mutation in the INPP5E gene on chromosome 9q34.,JBTS1,Joubert syndrome
Joubert syndrome 13,A Joubert syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the TCTN1 gene on chromosome 12q24.,JBTS13,Joubert syndrome
Joubert syndrome 14,A Joubert syndrome characterized by severe mental retardation,JBTS14,Joubert syndrome
Joubert syndrome 15,A Joubert syndrome characterized by ataxia,JBTS15,Joubert syndrome
Joubert syndrome 16,A Joubert syndrome characterized by molar tooth sign on brain imaging,JBTS16,Joubert syndrome
Joubert syndrome 17,A Joubert syndrome characterized by episodic hyperpnea,JBTS17,Joubert syndrome
Joubert syndrome 18,A Joubert syndrome that has_material_basis_in homozygous mutation in the TCTN3 gene on chromosome 10q24.,JBTS18,Joubert syndrome
Joubert syndrome 2,A Joubert syndrome characterized by molar tooth sign on brain MRI,JBTS2,Joubert syndrome
Joubert syndrome 20,A Joubert syndrome that has_material_basis_in compound heterozygous mutation in the TMEM231 gene on chromosome 16q23.,JBTS20,Joubert syndrome
Joubert syndrome 21,A Joubert syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the CSPP1 gene on chromosome 8q13.,JBTS21,Joubert syndrome
Joubert syndrome 22,A Joubert syndrome that has_material_basis_in homozygous mutation in the PDE6D gene on chromosome 2q37.,JBTS22,Joubert syndrome
Joubert syndrome 23,A Joubert syndrome characterized by delayed development,JBTS23,Joubert syndrome
Joubert syndrome 24,A Joubert syndrome characterized by delayed psychomotor development and molar tooth sign on brain MRI that has_material_basis_in homozygous mutation in the TCTN2 gene on chromosome 12q24.,JBTS24,Joubert syndrome
Joubert syndrome 25,A Joubert syndrome characterized by delayed psychomotor development,JBTS25,Joubert syndrome
Joubert syndrome 26,A Joubert syndrome characterized by global developmental delay and cerebellar hypoplasia that has_material_basis_in homozygous mutation in the KIAA0556 gene on chromosome 16p12.,JBTS26,Joubert syndrome
Joubert syndrome 27,A Joubert syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the B9D1 gene on chromosome 17p11.,JBTS27,Joubert syndrome
Joubert syndrome 28,A Joubert syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the MKS1 gene on chromosome 17q23.,JBTS28,Joubert syndrome
Joubert syndrome 3,A Joubert syndrome that has_material_basis_in homozygous mutation in the AHI1 gene on chromosome 6q23.3.,JBTS3,Joubert syndrome
Joubert syndrome 4,A Joubert syndrome that has_material_basis_in deletions of the NPHP1 gene on chromosome 2q13.,JBTS4,Joubert syndrome
Joubert syndrome 5,A Joubert syndrome that has_material_basis_in mutation in the CEP290 gene on chromosome 12q21.,JBTS5,Joubert syndrome
Joubert syndrome 6,A Joubert syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the TMEM67 on chromosome 8q22.,JBTS6,Joubert syndrome
Joubert syndrome 7,A Joubert syndrome that has_material_basis_in mutation in the RPGRIP1L gene on chromosome 16q12.2.,JBTS7,Joubert syndrome
Joubert syndrome 8,A Joubert syndrome that has_material_basis_in mutation in the ARL13B gene on chromosome 3q11.1-q11.2.,JBTS8,Joubert syndrome
Joubert syndrome 9,A Joubert syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the CC2D2A gene on chromosome 4p15.,JBTS9,Joubert syndrome
