Name,Definition,Synonym,Output
Alkhurma hemorrhagic fever,A viral infectious disease that is a hemorrhagic fever,Adenoviridae infectious disease,Kyasanur forest disease
obsolete Measles virus infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete primary Listeriaceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete primary Helicobacteraceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete primary Campylobacteraceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete primary Brucellaceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete primary Erysipelotrichaceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete commensal Clostridiaceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete commensal Staphylococcaceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete commensal Streptococcaceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete primary Burkholderiaceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete primary Legionellaceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete commensal Alcaligenaceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete opportunistic Pseudomonadaceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete primary Vibrionaceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete primary Coxiellaceae infectious disease,A viral infectious disease that results_in infection,Adenoviridae infectious disease,Kyasanur forest disease
obsolete physical disorder OBSOLETED TERM,A disorder that has an available objective mechanical test (such as chemical tests or brain scans),Adenoviridae infectious disease,Kyasanur forest disease
obsolete genetic disorder,A medical disorder that is an illness caused by abnormalities in genes or chromosomes.,Adenoviridae infectious disease,Kyasanur forest disease
obsolete peripheral dysostosis,A medical disorder that is an illness caused by abnormalities in genes or chromosomes.,Peripheral Dysostosis-Nasal Hypoplasia-Mental Retardation,Kyasanur forest disease
