Name,Definition,Synonym,Output
Leber congenital amaurosis 9,A Leber congenital amaurosis that has_material_basis_in mutation in the NMNAT1 gene on chromosome 1p36.,LCA9,Leber congenital amaurosis
Leber congenital amaurosis 2,A Leber congenital amaurosis that is characterized by night blindness,LCA2,Leber congenital amaurosis
Leber congenital amaurosis 1,A Leber congenital amaurosis characterized by severe cone-rod dystrophy with photophobia,LCA1,Leber congenital amaurosis
Leber congenital amaurosis 8,A Leber congenital amaurosis that is characterized by night blindness and thick unlaminated retinas and has_material_basis_in mutation in the CRB1 gene on chromosome 1q31-q32.,LCA8,Leber congenital amaurosis
Leber congenital amaurosis 12,A Leber congenital amaurosis that has_material_basis_in mutation in the RD3 gene on chromosome 1q32.,LCA12,Leber congenital amaurosis
Leber congenital amaurosis 16,A Leber congenital amaurosis that has_material_basis_in mutation in the KCNJ13 gene on chromosome 2q37.,LCA16,Leber congenital amaurosis
Leber congenital amaurosis 14,A Leber congenital amaurosis that has_material_basis_in mutation in the LRAT gene on chromosome 4q31.,LCA14,Leber congenital amaurosis
Leber congenital amaurosis 15,A Leber congenital amaurosis that has_material_basis_in mutation in the TULP1 gene on chromosome 6p21.3.,LCA15,Leber congenital amaurosis
Leber congenital amaurosis 5,A Leber congenital amaurosis that is characterized by severe visual dysfunction,LCA5,Leber congenital amaurosis
Leber congenital amaurosis 11,A Leber congenital amaurosis that has_material_basis_in mutation n the IMPDH1 gene on chromosome 7q31.3-q32.,LCA11,Leber congenital amaurosis
Leber congenital amaurosis 17,A Leber congenital amaurosis that has_material_basis_in mutation in the GDF6 gene on chromosome 8q22.,LCA17,Leber congenital amaurosis
Leber congenital amaurosis 10,A Leber congenital amaurosis that is characterized by severe infantile-onset cone-rod dystrophy with high hyperopia and severe ERG abnormalities and has_material_basis_in mutation in the CEP290 gene on chromosome 12q21.32.,LCA10,Leber congenital amaurosis
Leber congenital amaurosis 6,A Leber congenital amaurosis that is characterized by early photophobia,LCA6,Leber congenital amaurosis
Leber congenital amaurosis 13,A Leber congenital amaurosis thatis characterized by mild or absent hyperopia,LCA13,Leber congenital amaurosis
Leber congenital amaurosis 3,A Leber congenital amaurosis that has_material_basis_in mutation in the SPATA7 gene on chromosome 14q31.,LCA3,Leber congenital amaurosis
Leber congenital amaurosis 4,A Leber congenital amaurosis that is characterized by a relatively severe phenotype,LCA4,Leber congenital amaurosis
Leber congenital amaurosis 7,A Leber congenital amaurosis that has_material_basis_in mutation in the CRX gene on chromosome 19q13.,LCA7,Leber congenital amaurosis
