Name,Definition,Synonym,Output
Noonan syndrome 1,A Noonan syndrome that has_material_basis_in the PTPN11 gene on chromosome 12q24.,NS1,Noonan syndrome
Noonan syndrome 2,A Noonan syndrome characterized by hypertrophic obstructive cardiomyopathy and that has_material_basis_in an autosomal recessive inheritance.,NS2,Noonan syndrome
Noonan syndrome 3,A Noonan syndrome that has_material_basis_in heterozygous mutation in the KRAS gene.,NS3,Noonan syndrome
Noonan syndrome 4,A Noonan syndrome that has_material_basis_in heterozygous mutation in the SOS1 gene on chromosome 2p22.,NS4,Noonan syndrome
Noonan syndrome 5,A Noonan syndrome that has_material_basis_in mutation in the RAF1 gene.,NS5,Noonan syndrome
Noonan syndrome 6,A Noonan syndrome that has_material_basis in  heterozygous mutation in the NRAS gene on chromosome 1p13.,NS6,Noonan syndrome
Noonan syndrome 7,A Noonan syndrome that has_material_basis in heterozygous mutation in the BRAF gene.,NS7,Noonan syndrome
Noonan syndrome 8,A Noonan syndrome that has_material_basis_in aused by heterozygous mutation in the RIT1 gene on chromosome 1q22.,NS8,Noonan syndrome
Noonan syndrome 9,A Noonan syndrome that has_material_basis_in heterozygous mutation in the SOS2 gene on chromosome 14q21.,NS9,Noonan syndrome
Noonan syndrome 10,A Noonan syndrome that has_material_basis_in heterozygous mutation in the LZTR1 gene on chromosome 22q11.,NS10,Noonan syndrome
