Name,Definition,Synonym,Output
Waardenburg syndrome type 2B,A Waardenburg's syndrome characterized by pigmentary abnormalities of the hair,WS2B,Waardenburg's syndrome
Waardenburg syndrome type 1,A Waardenburg's syndrome characterized by autosomal dominant inheritance of congenital deafness,WS1,Waardenburg's syndrome
Waardenburg syndrome type 3,A Waardenburg's syndrome characterized by upper limb anomalies,WS3,Waardenburg's syndrome
Waardenburg syndrome type 2A,A Waardenburg's syndrome characterized by pigmentary abnormalities of the hair,WS2A,Waardenburg's syndrome
Waardenburg syndrome type 2C,A Waardenburg's syndrome characterized by pigmentary abnormalities of the hair,WS2C,Waardenburg's syndrome
Waardenburg syndrome type 2D,A Waardenburg's syndrome characterized by pigmentary abnormalities of the hair,WS2D,Waardenburg's syndrome
Waardenburg syndrome type 4A,A Waardenburg's syndrome characterized by pigmentary abnormalities of the hair,WS4A,Waardenburg's syndrome
Waardenburg syndrome type 4B,A Waardenburg's syndrome characterized by pigmentary abnormalities of the hair,WS4B,Waardenburg's syndrome
Waardenburg syndrome type 4C,A Waardenburg's syndrome characterized by pigmentary abnormalities of the hair,WS4C,Waardenburg's syndrome
Waardenburg syndrome type 2E,A Waardenburg's syndrome characterized by pigmentary abnormalities of the hair,WS2E with or without neurological involvement,Waardenburg's syndrome
