Name,Definition,Synonym,Output
Nance-Horan syndrome,A X-linked dominant disease that has_material_basis_in mutation in the NHS gene on chromosome Xp22 and is characterized by congenital cataract leading to profound vision loss,atypical CML,X-linked dominant disease
obsolete hereditary motor and sensory neuropathy with agenesis of the corpus callosum,A X-linked dominant disease that has_material_basis_in mutation in the NHS gene on chromosome Xp22 and is characterized by congenital cataract leading to profound vision loss,atypical CML,X-linked dominant disease
Christianson syndrome,A syndromic X-linked intellectual disability characterized by severe developmental delay,X-linked intellectual disability-craniofacial dysmorphism-epilepsy-ophthalmoplegia-cerebellar atrophy syndrome,X-linked dominant disease
congenital disorder of glycosylation type IIm,A congenital disorder of glycosylation type II that is characterized by infantile onset seizures,SLC35A2-CDG,X-linked dominant disease
early infantile epileptic encephalopathy 36,An early infantile epileptic encephalopathy characterized by X-linked dominant inheritance of infantile onset of seizures,X-linked infantile spasm syndrome 1,X-linked dominant disease
Charcot-Marie-Tooth disease X-linked dominant 6,A Charcot-Marie-Tooth disease X-linked that has_material_basis_in mutation in the PDK3 gene on chromosome Xp22.,X-linked Charcot-Marie-Tooth disease type 6,X-linked dominant disease
Charcot-Marie-Tooth disease X-linked dominant 1,A Charcot-Marie-Tooth disease X-linked that has_material_basis_in hemizygous or heterozygous mutation in the GJB1 gene on chromosome Xq13.,X-linked Charcot-Marie-Tooth disease type 1,X-linked dominant disease
fragile X syndrome,A X-linked dominant disease that is characterized by moderate to severe mental retardation,MARTIN-BELL SYNDROME,X-linked dominant disease
craniofrontonasal syndrome,A X-linked dominant disease that has_material_basis_in mutation in the EFNB1 gene on chromosome Xq13 and is characterized in hemizygous males by hypertelorism and with greater severity in females by frontonasal dysplasia,craniofrontonasal dysplasia,X-linked dominant disease
obsolete progressive high-tone neural deafness,A X-linked dominant disease that has_material_basis_in mutation in the EFNB1 gene on chromosome Xq13 and is characterized in hemizygous males by hypertelorism and with greater severity in females by frontonasal dysplasia,craniofrontonasal dysplasia,X-linked dominant disease
focal dermal hypoplasia,A X-linked dominant disease characterized at birth by streaks of very thin skin (dermal hypoplasia),Goltz syndrome,X-linked dominant disease
Coffin-Lowry syndrome,An X-linked dominant disease that is characterized by skeletal malformations,Granulome annulare,X-linked dominant disease
