Name,Definition,Synonym,Output
Allan-Herndon-Dudley syndrome,A X-linked recessive disease that has_material_basis_in mutation at is in the gene encoding the monocarboxylate transporter-8 which alters the structure and function of the SLC16A2 protein which is then unable to transport the thyroid triiodothyronine (T3) hormone into nerve cells of the developing brain affecting normal brain development resulting in intellectual disability and problems with movement.,ALLAN-HERNDON SYNDROME,X-linked recessive disease
Borjeson-Forssman-Lehmann syndrome,An X-linked disease that is characterized by intellectual disability,syndromic X-linked mental retardation Borjeson-Forssman-Lehmann type,X-linked recessive disease
Opitz-GBBB syndrome,A monogenic disease that is characterized by hypertelorism,Opitz G/BBB Syndrome,X-linked recessive disease
Ogden syndrome,An X-linked disease characterized by postnatal growth failure,X-linked Malformation and Infantile Lethality Syndrome,X-linked recessive disease
Renpenning syndrome,An intellectual disability that is characterized by small head size (microcephaly),X-linked mental retardation with spastic diplegia,X-linked recessive disease
Simpson-Golabi-Behmel syndrome type 1,An X-linked recessive disease characterized by pre- and postnatal overgrowth and craniofacial,X-linked dysplasia gigantism syndrome,X-linked recessive disease
Ritscher-Schinzel syndrome 2,A Ritscher-Schinzel syndrome that has_material_basis_in mutation in the CCDC22 gene on chromosome Xp11.,cardiovascular tuberculosis,X-linked recessive disease
X-linked lymphoproliferative syndrome 1,A lymphoproliferative syndrome characterized by severe immune dysregulation after viral infect that may manifest as severe or fatal mononucleosis,XLP1,X-linked recessive disease
X-linked lymphoproliferative syndrome 2,A lymphoproliferative syndrome characterized by X-linked inheritance,XLP2,X-linked recessive disease
syndromic X-linked intellectual disability 5,A syndromic X-linked intellectual disability characterized by intellectual disability and variable features including; choreoathetosis,X-linked metal retardation with Dandy-Walker malformation,X-linked recessive disease
MEHMO syndrome,A syndromic X-linked intellectual disability characterized by severe intellectual deficit,X-linked intellectual disability-epileptic seizures-hypogenitalism-microcephaly-obesity syndrome,X-linked recessive disease
syndromic X-linked intellectual disability Snyder type,A syndromic X-linked intellectual disability characterized by mild to profound intellectual disability,SRS,X-linked recessive disease
syndromic X-linked intellectual disability 17,A syndromic X-linked intellectual disability characterized by global developmental delay,X-linked mental retardation with alacrima and achalasia,X-linked recessive disease
Prieto syndrome,A syndromic X-linked intellectual disability characterized by intellectual disability,X-linked intellectual disability-dysmorphism-cerebral atrophy syndrome,X-linked recessive disease
syndromic X-linked intellectual disability Claes-Jensen type,A syndromic X-linked intellectual disability characterized by severe intellectual deficit associated with variable clinical manifestations including spasticity,syndromic X-linked mental retardation JARID1C-related,X-linked recessive disease
syndromic X-linked intellectual disability Siderius type,A syndromic X-linked intellectual disability characterized by mild to moderate intellectual disability,Siderius-Hamel syndrome,X-linked recessive disease
Wilson-Turner syndrome,A syndromic X-linked intellectual disability characterized by intellectual disability,X-linked intellectual disability-gynecomastia-obesity syndrome,X-linked recessive disease
