Name,Definition,Synonym,Output
carbohydrate metabolism disease,An acquired metabolic disease that is characterized by abnormal carbohydrate metabolism.,Chikungunya fever,acquired metabolic disease
obsolete epizootic hemorrhagic disease,A viral infectious disease that results_in infection in deer,EHD,acquired metabolic disease
obsolete Rocio virus encephalitis,A viral infectious disease that results_in inflammation located_in brain,EHD,acquired metabolic disease
obsolete Ehrlichia ewingii ehrlichiosis,A viral infectious disease that results_in inflammation located_in brain,EHD,acquired metabolic disease
mineral metabolism disease,An acquired metabolic disease that is characterized by abnormal mineral metabolism.,Ehrlichiosis chafeensis,acquired metabolic disease
metabolic acidosis,An acquired metabolic disease that characterized by excessive production of acid.,Mohr-Tranebjaerg syndrome,acquired metabolic disease
hyperprolactinemia,An acquired metabolic disease that has_material_basis_in the presence of abnormally-high levels of prolactin in the blood.,Pregnancy-related A-G syndrome,acquired metabolic disease
obsolete Rotator cuff shoulder syndrome and allied disorder,An acquired metabolic disease that has_material_basis_in the presence of abnormally-high levels of prolactin in the blood.,Pregnancy-related A-G syndrome,acquired metabolic disease
hyperuricemia,An acquired metabolic disease that has_material_basis_in an abnormally high level of uric acid in the blood.,uricacidemia,acquired metabolic disease
nutrition disease,An acquired metabolic disease that is characterized by an insufficient intake of food or of certain nutrients,Nutritional disorder,acquired metabolic disease
amyloidosis,An acquired metabolic disease that has_material_basis_in extracellular tissue deposition of mis-folded proteins called fibrils composed of low molecular weight subunits of a variety of proteins. These deposits may result in a wide range of clinical manifestations depending upon their type,amyloid disease,acquired metabolic disease
obsolete Hodgkin's lymphoma,An acquired metabolic disease that has_material_basis_in extracellular tissue deposition of mis-folded proteins called fibrils composed of low molecular weight subunits of a variety of proteins. These deposits may result in a wide range of clinical manifestations depending upon their type,Hodgkin's disease,acquired metabolic disease
carotenemia,A coccidiosis that has_material_basis_in protozoan Toxoplasma gondii. The parasite effects most genera of warm-blooded animals,hypercarotinemia,acquired metabolic disease
