Name,Definition,Synonym,Output
colorectal adenocarcinoma,A colorectal carcinoma that derives_from epithelial cells of glandular origin.,obstructive sleep apnea syndrome,adenocarcinoma
in situ pulmonary adenocarcinoma,A lung cancer that derives_from the distal bronchioles or alveoli that initially exhibit a specific non-invasive growth pattern.,bronchioalveolar carcinoma,adenocarcinoma
jejunal adenocarcinoma,A jejunal cancer that is located_in the jejunum and has_material_basis_in epithelial tissue that has glandular origin.,SETTLE tumor,adenocarcinoma
hepatoid adenocarcinoma,An adenocarcinoma with morphologic characteristics similar to hepatocellular carcinoma,Turbo cornutus allergy,adenocarcinoma
gastroesophageal adenocarcinoma,A gastroesophageal cancer that has_material_basis_in abnormally proliferating cells,gastro-esophageal adenocarcinoma,adenocarcinoma
epididymis adenocarcinoma,An epididymis cancer that derives_from epithelial cells of glandular origin.,adenocarcinoma of the epididymis,adenocarcinoma
duodenum adenocarcinoma,A duodenum cancer that derives_from epithelial cells of glandular origin.,Duodenal adenocarcinoma,adenocarcinoma
rectum adenocarcinoma,A rectum cancer that derives_from epithelial cells of glandular origin.,Rectal adenocarcinoma,adenocarcinoma
vulva adenocarcinoma,A vulva carcinoma that derives_from epithelial cells of glandular origin.,adenocarcinoma of Vulva,adenocarcinoma
obsolete extramammary Paget's disease,A vulva carcinoma that derives_from epithelial cells of glandular origin.,Paget's disease,adenocarcinoma
colon adenocarcinoma,A colon carcinoma that derives_from epithelial cells of glandular origin.,Colonic adenocarcinoma,adenocarcinoma
prostate adenocarcinoma,A prostate carcinoma that derives_from epithelial cells of glandular origin.,postpartum abnormal glucose tolerance of mother,adenocarcinoma
ethmoid sinus adenocarcinoma,An ethmoid sinus cancer that derives from epithelial cells of glandular origin.,adenocarcinoma of the ethmoid sinus,adenocarcinoma
endometrial adenocarcinoma,An endometrial carcinoma that derives_from epithelial cells of glandular origin.,endometrioid carcinoma of Endometrium,adenocarcinoma
lacrimal gland adenocarcinoma,A lacrimal gland carcinoma that derives_from epithelial cells of glandular origin.,adenocarcinoma of lacrimal gland,adenocarcinoma
obsolete bone marrow tansplantation nephropathy,A lacrimal gland carcinoma that derives_from epithelial cells of glandular origin.,adenocarcinoma of lacrimal gland,adenocarcinoma
mucinous adenocarcinoma,An adenocarcinoma that derives_from epithelial cells originating in glandular tissue,Pseudomyxoma peritonei with unknown primary site,adenocarcinoma
cecum adenocarcinoma,A cecum carcinoma that derives_from epithelial cells of glandular origin.,Cecal adenocarcinoma,adenocarcinoma
papillary adenocarcinoma,An adenocarcinoma that derives_from epithelial cells originating in glandular tissue,Papillary adenocarcinoma,adenocarcinoma
signet ring cell adenocarcinoma,An adenocarcinoma that derives_from epithelial cells originating in glandular tissue,Signet ring cell carcinoma,adenocarcinoma
anal canal adenocarcinoma,An anal canal cancer that derives_from epithelial cells of glandular origin.,adenocarcinoma of the anal canal,adenocarcinoma
cervical adenocarcinoma,A cervix carcinoma that derives_from epithelial cells of glandular origin.,adenocarcinoma of the uterine Cervix,adenocarcinoma
fallopian tube adenocarcinoma,A fallopian tube carcinoma that derives_from epithelial cells of glandular origin.,adenocarcinoma of the fallopian tube,adenocarcinoma
lung adenocarcinoma,A lung cancer that derives_from epithelial cells of glandular origin.,nonsmall cell adenocarcinoma,adenocarcinoma
scirrhous adenocarcinoma,An adenocarcinoma that results in a hard structure owing to the formation of dense connective tissue in the stroma.,Scirrhous adenocarcinoma,adenocarcinoma
obsolete steatitis,An adenocarcinoma that results in a hard structure owing to the formation of dense connective tissue in the stroma.,Scirrhous adenocarcinoma,adenocarcinoma
obsolete vitamin E deficiency,An adenocarcinoma that results in a hard structure owing to the formation of dense connective tissue in the stroma.,Scirrhous adenocarcinoma,adenocarcinoma
obsolete fetal distress,An adenocarcinoma that results in a hard structure owing to the formation of dense connective tissue in the stroma.,Fetal distress unspecified (finding),adenocarcinoma
clear cell adenocarcinoma,An adenocarcinoma that derives_from epithelial cells which have clear cytoplasm.,Wolffian duct neoplasm,adenocarcinoma
esophagus adenocarcinoma,An esophageal carcinoma that derives_from epithelial cells of glandular origin.,Oesophageal adenocarcinoma,adenocarcinoma
villous adenocarcinoma,An adenocarcinoma that derives_from epithelial cells originating in glandular tissue,carcinoma of the Pituitary gland,adenocarcinoma
tubular adenocarcinoma,An adenocarcinoma that derives_from epithelial cells originating in glandular tissue. The tumor has branched angular tubules embedded in a loose fibrous stroma.,tubular carcinoma,adenocarcinoma
maxillary sinus adenocarcinoma,A retinal cell cancer and malignant neoplasm of retina and neuroblastoma and neuroendocrine tumors that derives_from the tissues of the retina.,adenocarcinoma of the maxillary sinus,adenocarcinoma
