Name,Definition,Synonym,Output
akinetopsia,An agnosia that is a loss of motion perception.,Franklin's disease,agnosia
alexithymia,An agnosia that is a deficiency in understanding,Franklin's disease,agnosia
amusia,An agnosia that is a loss of the ability to recognize musical notes,receptive amusia,agnosia
anosognosia,An agnosia that is a loss of the ability to gain feedback about one's own condition or impairments.,receptive amusia,agnosia
apperceptive agnosia,An agnosia that is a loss of the ability to distinguish visual shapes.,receptive amusia,agnosia
apraxia,An agnosia that is a loss of the ability to map out physical actions in order to repeat them in functional activities.,receptive amusia,agnosia
associative agnosia,An agnosia that is a loss of the ability to recognize visual scenes or classes of objects but retain the abilty to describe them.,receptive amusia,agnosia
auditory agnosia,An agnosia that is a loss of the ability to distinguishing environmental and non-verbal auditory cues including difficulty distinguishing speech from non-speech sounds even though hearing is usually normal.,receptive amusia,agnosia
autotopagnosia,An agnosia that is a loss of the ability to orient parts of the body.,receptive amusia,agnosia
color agnosia,An agnosia that is a loss of the ability to recognize a color,receptive amusia,agnosia
cortical deafness,An agnosia that is a loss of the ability to perceive any auditory information but whose hearing is intact.,receptive amusia,agnosia
finger agnosia,An agnosia that is a loss of the ability to distinguish the fingers on the hand.,receptive amusia,agnosia
form agnosia,An agnosia that is a loss of the ability to perceive a whole object while perceiving only parts of details.,receptive amusia,agnosia
integrative agnosia,An agnosia that is a loss of the ability to integrate these elements together into comprehensible perceptual wholes while recognizing elements of the whole.,receptive amusia,agnosia
mirror agnosia,An agnosia that is a loss of the ability to acknowledge objects in the neglected field that are visible when a mirror reflects the object visible in the non-neglected field.,receptive amusia,agnosia
pain agnosia,An agnosia that is a loss of the ability to perceive and process pain.,analgesia,agnosia
phonagnosia,An agnosia that is a loss of the ability to recognize familiar voices.,analgesia,agnosia
semantic agnosia,An agnosia that is a loss of the ability to visually recognise an object while maintaining the use of non-visual sensory systems such as feeling,analgesia,agnosia
simultanagnosia,An agnosia that is a loss of the ability to recgonize a whole image or scene while retianing the ability to recognize objects or details in their visual field one at a time.,analgesia,agnosia
social emotional agnosia,An agnosia that is a loss of the ability to perceive facial expression,expressive agnosia,agnosia
astereognosia,An agnosia that is the loss of the ability to recognize objects by touch based on its texture,somatosensory agnosia,agnosia
tactile agnosia,An agnosia that is a loss of the ability to recognize or identify objects by touch alone.,somatosensory agnosia,agnosia
time agnosia,An agnosia that is a loss of the ability to comprehend the succession and duration of events.,somatosensory agnosia,agnosia
verbal auditory agnosia,An agnosia that is a loss of the ability to recognising spoken words as semantically meaningful.,somatosensory agnosia,agnosia
visual agnosia,An agnosia that is a loss of the ability to visually recognize objects.,somatosensory agnosia,agnosia
alexia,An agnosia that is a loss of the ability to recognize text.,Aphemesthaesia,agnosia
prosopagnosia,An agnosia that results in the loss of the ability to consciously recognize familiar faces.,Aphasia-angular gyrus syndrome,agnosia
