Name,Definition,Synonym,Output
amelogenesis imperfecta type 3B,An autosomal recessive non-syndromic intellectual disability that has_material_basis_in homozygous mutation in the RUN and SH3 domain containing 2 gene (RUSC2) on chromosome 9p13.,Alwadei syndrome,amelogenesis imperfecta
amelogenesis imperfecta type 1B,An amelogenesis imperfecta that has_material_basis_in heterozygous mutation in the enamelin gene (ENAM) on chromosome 4q13.,hereditary localized enamel hypoplasia,amelogenesis imperfecta
amelogenesis imperfecta type 4,An amelogenesis imperfecta which can has_material_basis_in mutation in the DLX3 gene.,amelogenesis imperfecta hypomaturation-hypoplastic type with taurodontism,amelogenesis imperfecta
amelogenesis imperfecta type 1A,An amelogenesis imperfecta that has_material_basis_in heterozygous mutation in the beta-3 laminin gene (LAMB3) on chromosome 1q32.,amelogenesis imperfecta type IA,amelogenesis imperfecta
amelogenesis imperfecta type 3A,An amelogenesis imperfecta that has_material_basis_in heterozygous mutation in the FAM83H gene.,autosomal dominant amelogenesis imperfecta hypocalcification type,amelogenesis imperfecta
amelogenesis imperfecta type 1C,An amelogenesis imperfecta that has_material_basis_in homozygous mutation in the enamelin gene (ENAM).,autosomal recessive amelogenesis imperfecta local hypoplastic type,amelogenesis imperfecta
amelogenesis imperfecta type 2A1,An amelogenesis imperfecta that has_material_basis_in homozygous mutation in the kallikrein-4 gene (KLK4) on chromosome 19q13.,amelogenesis imperfecta type IIA1,amelogenesis imperfecta
amelogenesis imperfecta type 1E,An amelogenesis imperfecta that has_material_basis_in X-linked dominant mutation in the gene encoding amelogenin (AMELX).,X-linked enamel hypoplasia,amelogenesis imperfecta
X-linked amelogenesis imperfecta hypoplastic/hypomaturation 2,An amelogenesis imperfecta associated with mutation in a gene in the Xq22-q28 region.,X-linked enamel hypoplasia,amelogenesis imperfecta
amelogenesis imperfecta hypomaturation type 2A2,An amelogenesis imperfecta that has_material_basis_in homozygous mutation in the matrix metalloproteinase-20 gene (MMP20).,amelogenesis imperfecta type IIA2,amelogenesis imperfecta
amelogenesis imperfecta hypomaturation type 2A3,An amelogenesis imperfecta caused  by homozygous mutation in the WDR72 gene.,amelogenesis imperfecta type IIA3,amelogenesis imperfecta
amelogenesis imperfecta hypomaturation type 2A4,An amelogenesis imperfecta caused  by homozygous mutation in the C4ORF26 gene on chromosome 4q21.,amelogenesis imperfecta type IIA4,amelogenesis imperfecta
amelogenesis imperfecta hypomaturation type 2A5,An amelogenesis imperfecta that has_material_basis_in homozygous mutation in the SLC24A4 gene on chromosome 14q32.,amelogenesis imperfecta type IIA5,amelogenesis imperfecta
amelogenesis imperfecta type 1H,An amelogenesis imperfecta that has_material_basis_in homozygous or compound heterozygous mutation in the integrin beta-6 gene (ITGB6) on chromosome 2q24.,amelogenesis imperfecta type IH,amelogenesis imperfecta
amelogenesis imperfecta type 1F,An amelogenesis imperfecta that has_material_basis_in homozygous mutation in the ameloblastin gene (AMBN) on chromosome 4q13.,amelogenesis imperfecta type IF,amelogenesis imperfecta
amelogenesis imperfecta type 1G,An amelogenesis imperfecta that has_material_basis_in homozygous or compound heterozygous mutation in the FAM20A gene on chromosome 17q24.,ERS,amelogenesis imperfecta
