Name,Definition,Synonym,Output
imperforate anus,A megacolon that is characterized by a blockage of the large intestine due to improper muscle movement in the bowel.,Imperforate anus,anus disease
obsolete transient disorder of initiating or maintaining wakefulness,A megacolon that is characterized by a blockage of the large intestine due to improper muscle movement in the bowel.,Imperforate anus,anus disease
anorectal stricture,A female reproductive system disease that is located_in the ovary.,Stenosis of rectum and anus,anus disease
obsolete postsurgical testicular hypofunction,A female reproductive system disease that is located_in the ovary.,Postsurgical testicular hypofunction (disorder) [Ambiguous],anus disease
obsolete testicular dysfunction,A female reproductive system disease that is located_in the ovary.,Postsurgical testicular hypofunction (disorder) [Ambiguous],anus disease
obsolete chronic glomerulonephritis with lesion of proliferative glomerulonephritis,A female reproductive system disease that is located_in the ovary.,chronic glomerulonephritis with lesion of proliferative glomerulonephritis,anus disease
obsolete chronic glomerulonephritis with lesion of membranous glomerulonephritis,A female reproductive system disease that is located_in the ovary.,chronic Glomerulonephritis with Lesion of Membranous Glomerulonephritis,anus disease
anogenital venereal wart,A viral infectious disease that results_in infection located_in skin of vagina,venereal wart,anus disease
obsolete vaginal condylomata acuminata,An anogenital venereal wart that results_in infection located_in mucosa of vagina,vaginal Condyloma Acuminatum,anus disease
obsolete vulvar condylomata acuminata,An anogenital venereal wart that results_in infection located_in skin of vulva,Vulvar Condyloma,anus disease
obsolete urethral condylomata acuminata,An anogenital venereal wart that results_in infection located_in skin of urethra,urethral Condylomata,anus disease
obsolete anal condylomata acuminata,An anogenital venereal wart that results_in infection located_in skin of anus,Condylomata of anus,anus disease
anal spasm,A colonic disease that is characterized by an abnormal dilation of the colon.,Dilatation of colon,anus disease
obsolete calculus of gallbladder and bile duct with acute cholecystitis,A colonic disease that is characterized by an abnormal dilation of the colon.,calculus of gallbladder and bile duct with acute cholecystitis,anus disease
