Name,Definition,Synonym,Output
separation anxiety disorder,An anxiety disorder that involves the feeling of excessive and inappropriate levels of anxiety over being separated from a person to whom the individual has a strong emotional attachment or place.,Glaucoma of childhood,anxiety disorder
obsessive-compulsive disorder,An anxiety disorder that involves unwanted and repeated thoughts,obsessive compulsive disorder,anxiety disorder
generalized anxiety disorder,An anxiety disorder that is characterized by long-lasting anxiety that is not focused on any one object or situation.,visual impairment,anxiety disorder
post-traumatic stress disorder,An anxiety disorder which results from a traumatic experience that results in psychological trauma.,traumatic neurosis,anxiety disorder
neurotic disorder,An anxiety disorder that involves discress but neither delusions nor hallucinations.,reactive depression,anxiety disorder
obsolete adrenocortical hyperplasia,An anxiety disorder that involves discress but neither delusions nor hallucinations.,Adrenocortical hyperplasia (disorder),anxiety disorder
obsolete adrenal hyperplasia,An anxiety disorder that involves discress but neither delusions nor hallucinations.,Adrenal hypertrophy or hyperplasia (disorder),anxiety disorder
phobic disorder,An anxiety disorder where fear and anxiety are triggered by a specific stimulus or situation.,verrucous squamous carcinoma of penis,anxiety disorder
panic disorder,An anxiety disorder that is characterized by unexpected and repeated episodes of intense fear accompanied by physical symptoms that may include chest pain,panic anxiety syndrome,anxiety disorder
acute stress disorder,An anxiety disorder that has_symptom flashbacks,traumatic stress disorder,anxiety disorder
