Name,Definition,Synonym,Output
arterial calcification of infancy,A vascular disease that is characterized by generalized calcification of the arterial internal elastic lamina,infantile arteriosclerosis,artery disease
peripheral artery disease,An artery disease that is characterized by build up of plaque in the arteries that carry blood to your head,rheumatic carditis,artery disease
hypertension,An artery disease characterized by chronic elevated blood pressure in the arteries.,vascular hypertensive disorder,artery disease
obsolete liver abscess and sequelae of chronic liver disease,An artery disease characterized by chronic elevated blood pressure in the arteries.,vascular hypertensive disorder,artery disease
obsolete Spirurida infectious disease,A Chromadorea infectious disease that involves infection by parasitic nematodes of the order Spirurida.,filarial infectious disease and dracontiasis,artery disease
Sneddon syndrome,A syndrome that involves pre-excitation of the ventricles due to an accessory pathway providing an abnormal electrical communication from the atria to the ventricles.,Idiopathic livedo reticularis with systemic involvement,artery disease
splenic artery aneurysm,An aortic aneurysm that is located_in the thoracic aorta.,Diabetes mellitus type I [juvenile type],artery disease
arteriosclerosis,An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.,Arteriosclerotic vascular disease,artery disease
renal artery disease,A brain disease that is characterised by the presence of neurological symptoms of ophthalmoplegia,vascular disorder of kidney,artery disease
obsolete fibromuscular dysplasia,A brain disease that is characterised by the presence of neurological symptoms of ophthalmoplegia,Fibromuscular hyperplasia of artery [Ambiguous],artery disease
obsolete iridodialysis,A brain disease that is characterised by the presence of neurological symptoms of ophthalmoplegia,coredialysis,artery disease
coronary artery disease,An artery disease that is characterized by plaque building up along the inner walls of the arteries of the heart resulting in a narrowing of the arteries and a reduced blood supply to the cardiac muscles.,coronary heart disease,artery disease
subclavian artery aneurysm,A cranial nerve disease that is located_in the ninth cranial nerve or its nuclei in the medulla.,Tumour of optic nerve,artery disease
obsolete neoplasm of visual pathway,A cranial nerve disease that is located_in the ninth cranial nerve or its nuclei in the medulla.,tumor of the visual pathway,artery disease
aortic disease,An artery disease that is characterized by degeneration of the cells composing the aortic wall.,disorder of the aorta,artery disease
