Name,Definition,Synonym,Output
short-rib thoracic dysplasia 18 with polydactyly,An early infantile epileptic encephalopathy that has_material_basis_in heterozygous mutation in the GABBR2 gene on chromosome 9q22.,Alwadei syndrome,asphyxiating thoracic dystrophy
short-rib thoracic dysplasia 19 with or without polydactyly,An early infantile epileptic encephalopathy that has_material_basis_in heterozygous mutation in the GABBR2 gene on chromosome 9q22.,Alwadei syndrome,asphyxiating thoracic dystrophy
asphyxiating thoracic dystrophy 1,An asphyxiating thoracic dystrophy associated with variation in the region 15q13.,SRTD1,asphyxiating thoracic dystrophy
asphyxiating thoracic dystrophy 2,An asphyxiating thoracic dystrophy that has_material_basis_in homozygous mutation in the IFT80 gene on chromosome 3q25.,SRTD2,asphyxiating thoracic dystrophy
asphyxiating thoracic dystrophy 3,An asphyxiating thoracic dystrophy that has_material_basis_in  homozygous or compound heterozygous mutation in the DYNC2H1 gene on chromosome 11q22.,Verma-Naumoff syndrome,asphyxiating thoracic dystrophy
asphyxiating thoracic dystrophy 4,An asphyxiating thoracic dystrophy has_material_basis_in  compound heterozygous mutation in the TTC21B gene on chromosome 2q24.,SRTD4,asphyxiating thoracic dystrophy
asphyxiating thoracic dystrophy 5,An asphyxiating thoracic dystrophy that has_material_basis_in homozygous mutation in the WDR19 gene on chromosome 4p14.,SRTD5,asphyxiating thoracic dystrophy
short-rib thoracic dysplasia 7 with or without polydactyly,An asphyxiating thoracic dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the WDR35 gene on chromosome 2p21.1.,SRTD7,asphyxiating thoracic dystrophy
short-rib thoracic dysplasia 10 with or without polydactyly,An asphyxiating thoracic dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the IFT172 gene on chromosome 2p23.,SRTD10,asphyxiating thoracic dystrophy
short-rib thoracic dysplasia 6 with or without polydactyly,An asphyxiating thoracic dystrophy that has_material_basis_in homozygous mutation in the NEK1 gene on chromosome 4q33.,SRTD6,asphyxiating thoracic dystrophy
short-rib thoracic dysplasia 13 with or without polydactyly,An asphyxiating thoracic dystrophy that has_material_basis_in homozygous mutation in the CEP120 gene on chromosome 5q23.,SRTD13,asphyxiating thoracic dystrophy
short-rib thoracic dysplasia 8 with or without polydactyly,An asphyxiating thoracic dystrophy that has_material_basis_in compound heterozygous mutation in the WDR60 gene on chromosome 7q36.,SRTD8,asphyxiating thoracic dystrophy
short-rib thoracic dysplasia 11 with or without polydactyly,An asphyxiating thoracic dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the WDR34 gene on chromosome 9q34.,SRTD11,asphyxiating thoracic dystrophy
short-rib thoracic dysplasia 14 with polydactyly,An asphyxiating thoracic dystrophy that has_material_basis_in homozygous mutation in the KIAA0586 gene on chromosome 14q23.,SRTD14,asphyxiating thoracic dystrophy
short-rib thoracic dysplasia 9 with or without polydactyly,An asphyxiating thoracic dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the IFT140 gene on chromosome 16p13.,SRTD9,asphyxiating thoracic dystrophy
