Name,Definition,Synonym,Output
glioblastoma multiforme,An astrocytoma characterized by the presence of small areas of necrotizing tissue that is surrounded by anaplastic cells as well as the presence of hyperplastic blood vessels,spongioblastoma multiforme,astrocytoma
adult astrocytic tumour,A glioblastoma multiforme that is characterized by a prevalence of bizarre,adult astrocytoma,astrocytoma
obsolete anaplastic childhood astrocytoma,A glioblastoma multiforme that is characterized by a prevalence of bizarre,Undifferentiated pediatric astrocytoma,astrocytoma
grade III astrocytoma,An astrocytoma that is characterized by cells with regular,grade III Astrocytic tumor,astrocytoma
juvenile astrocytoma,An astrocytoma that is characterized by cells with regular,pediatric astrocytoma,astrocytoma
pilomyxoid astrocytoma,A carcinoma that derives_from myoepithelial cells.,WHO grade II Ependymal tumor,astrocytoma
pleomorphic xanthoastrocytoma,An astrocytoma that is characterized by cells that look like fibers when viewed under a microscope and is located_in the brain.,Pleomorphic Xantho-astrocytoma,astrocytoma
gliofibroma,An astrocytoma that is characterized by cells that look like fibers when viewed under a microscope and is located_in the brain.,Gliofibroma,astrocytoma
obsolete diffuse astrocytoma,An astrocytoma that is characterized by cells that look like fibers when viewed under a microscope and is located_in the brain.,WHO grade II astrocytoma,astrocytoma
fibrillary astrocytoma,An astrocytoma that is characterized as a low grade astrocytoma and has_material_basis_in neoplastic astrocytes.,Fibrillary Astrocytic tumors,astrocytoma
gemistocytic astrocytoma,A functioning pituitary adenoma that characterized by excess cortisol a primary cause of Cushing's syndrome.,Gemistocytic astrocytoma,astrocytoma
obsolete childhood cerebral diffuse astrocytoma,A functioning pituitary adenoma that characterized by excess cortisol a primary cause of Cushing's syndrome.,Gemistocytic astrocytoma,astrocytoma
protoplasmic astrocytoma,A functioning pituitary adenoma that characterized by excess cortisol a primary cause of Cushing's syndrome.,Protoplasmic astrocytoma,astrocytoma
obsolete adult diffuse astrocytoma,A functioning pituitary adenoma that characterized by excess cortisol a primary cause of Cushing's syndrome.,Protoplasmic astrocytoma,astrocytoma
astroblastoma,An endometrial adenocarcinoma that is characterized by the presence of abundant mucin.,Astroblastoma,astrocytoma
obsolete anaplastic oligoastrocytoma,An endometrial adenocarcinoma that is characterized by the presence of abundant mucin.,WHO grade III mixed glioma,astrocytoma
