Name,Definition,Synonym,Output
autoimmune disease of endocrine system,An autoimmune hypersensitivity disease that is the abnormal functioning of the immune system resulting in production of antibodies or T cells against cells and/or tissues in the endocrine system.,Quincke edema,autoimmune hypersensitivity disease
obsolete artemis deficiency,A severe combined immunodeficiency that is caused when the DCLREI1,Quincke edema,autoimmune hypersensitivity disease
autoimmune disease of exocrine system,An autoimmune hypersensitivity disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the exocrine system.,thymoma with hypogammaglobulinemia,autoimmune hypersensitivity disease
autoimmune disease of eyes,An autoimmune hypersensitivity disease located_in eyes,thymoma with hypogammaglobulinemia,autoimmune hypersensitivity disease
autoimmune disease of gastrointestinal tract,An autoimmune hypersensitivity disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the gastrointestinal tract.,thymoma with hypogammaglobulinemia,autoimmune hypersensitivity disease
autoimmune disease of musculoskeletal system,An autoimmune hypersensitivity disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the musculoskeletal system.,thymoma with hypogammaglobulinemia,autoimmune hypersensitivity disease
autoimmune disease of urogenital tract,An autoimmune hypersensitivity disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the urogenital tract.,PDD,autoimmune hypersensitivity disease
autoimmune disease of blood,An autoimmune hypersensitivity disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the blood.,PDD,autoimmune hypersensitivity disease
autoimmune disease of cardiovascular system,An autoimmune hypersensitivity disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the cardiovascular system.,PDD,autoimmune hypersensitivity disease
obsolete neurological disorder,A physical disorder that is the result of structural,PDD,autoimmune hypersensitivity disease
obsolete peripheral neuropathy,A neuropathy that is located_in nerves of the peripheral nervous system.,PDD,autoimmune hypersensitivity disease
IgG4-related disease,An autoimmune hypersensitivity disease that is characterized by tumefactive lesions,monosomy 22q13 syndrome,autoimmune hypersensitivity disease
CINCA Syndrome,An autoimmune hypersensitivity disease characterized by neonatal onset of cutaneous symptoms,Prieur-Griscelli syndrome,autoimmune hypersensitivity disease
immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome,An autoimmune hypersensitivity disease that is characterized by onset in infancy of refractory diarrhea,XPID,autoimmune hypersensitivity disease
Vogt-Koyanagi-Harada disease,An autoimmune hypersensitivity disease that is caused by T helper cell mediated autoimmune attack of melanocytes resulting in inflammation of the inside of the eye,Vogt-Koyanagi syndrome,autoimmune hypersensitivity disease
vitiligo,An autoimmune hypersensitivity disease that causes depigmentation of patches of skin resulting from loss of function or death of melanoctyes.,Incontinentia pigmenti syndrome,autoimmune hypersensitivity disease
Sjogren's syndrome,An autoimmune hypersensitivity disease that involves attack of immune cells which destroy the exocrine glands that produce tears and saliva.,xerodermosteosis,autoimmune hypersensitivity disease
Mikulicz disease,An autoimmune hypersensitivity disease that is characterized by chronic enlargement of the glands of the head and neck,Mikulicz's disease,autoimmune hypersensitivity disease
Jaccoud's syndrome,An autoimmune hypersensitivity disease that is characterized by severe non-erosive arthropathy with ulnar deviation of the 2nd to 5th digits and metacarpophalangeal joint subluxation without evidence of synovitis,Jaccoud syndrome,autoimmune hypersensitivity disease
familial Mediterranean fever,An autoimmune hypersensitivity disease characterized by recurrent episodes of fever and acute inflammation of the membranes lining the abdomen,benign paroxysmal peritonitis,autoimmune hypersensitivity disease
antiphospholipid syndrome,An autoimmune hypersensitivity disease that is characterized by recurrent venous or arterial thrombosis and/or fetal losses associated with characteristic elevated levels of antibodies directed against membrane anionic phospholipids (anticardiolipin).,Antiphospholipid syndrome,autoimmune hypersensitivity disease
obsolete Atypical small acinar proliferation of the prostate gland,An autoimmune hypersensitivity disease that is characterized by recurrent venous or arterial thrombosis and/or fetal losses associated with characteristic elevated levels of antibodies directed against membrane anionic phospholipids (anticardiolipin).,Prostatic Atypical small acinar Proliferation,autoimmune hypersensitivity disease
autoimmune disease of the nervous system,An autoimmune hypersensitivity disease affecting the nervous system.,autoimmune nervous system disorder,autoimmune hypersensitivity disease
obsolete conventional alveolar rhabdomyosarcoma,An autoimmune hypersensitivity disease affecting the nervous system.,autoimmune nervous system disorder,autoimmune hypersensitivity disease
obsolete solid alveolar rhabdomyosarcoma,An autoimmune hypersensitivity disease affecting the nervous system.,autoimmune nervous system disorder,autoimmune hypersensitivity disease
lupus erythematosus,An autoimmune hypersensitivity disease that is characterized by a constellation of findings that include elevated antibodies to nuclear antigens,lupus,autoimmune hypersensitivity disease
alopecia areata,An autoimmune hypersensitivity disease resulting in the loss of hair on the scalp and elsewhere on the body initially causing bald spots.,Circumscribed alopecia,autoimmune hypersensitivity disease
