Name,Definition,Synonym,Output
spinocerebellar ataxia type 5,An autosomal dominant cerebellar ataxia that is characterized by the early-onset of cerebellar signs and eye movement abnormalities with a very slow disease progression,inclusion body myopathy with Paget's disease of bone and frontotemporal dementia,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 1,An autosomal dominant cerebellar ataxia that is characterized by ataxia,clear-cell ovarian carcinoma,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 2,An autosomal dominant cerebellar ataxia that is characterized by ataxia,clear-cell ovarian carcinoma,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 6,An autosomal dominant cerebellar ataxia that is characterized by progresive ataxia,clear-cell ovarian carcinoma,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 4,An autosomal dominant cerebellar ataxia that is characterized by progresive ataxia,clear-cell ovarian carcinoma,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 7,An autosomal dominant cerebellar ataxia that is characterized by ataxia,clear-cell ovarian carcinoma,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 8,An autosomal dominant cerebellar ataxia that is characterized by slowly progressive dysarthria,clear-cell ovarian carcinoma,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 10,An autosomal dominant cerebellar ataxia that is characterized by gait ataxia,clear-cell ovarian carcinoma,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 11,An autosomal dominant cerebellar ataxia that is characterized by ataxia,clear-cell ovarian carcinoma,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 12,An autosomal dominant cerebellar ataxia that is characterized by minor ataxia and intention tremor,clear-cell ovarian carcinoma,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 13,An autosomal dominant cerebellar ataxia that is characterized by developmental delay,clear-cell ovarian carcinoma,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 14,An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia,clear-cell ovarian carcinoma,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 15,An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
obsolete spinocerebellar ataxia type 16,An autosomal recessive cerebellar ataxia that is characterized by truncal and limb ataxia,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 17,An autosomal dominant cerebellar ataxia that is characterized by chorea,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
autosomal dominant cerebellar ataxia,An autosomal dominant cerebellar ataxia that is characterized by ataxia,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 18,An autosomal dominant cerebellar ataxia that is characterized by cerebellar ataxia and sensory neuropathy,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 19/22,An autosomal dominant cerebellar ataxia that is characterized by mild cerebellar ataxia,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 20,An autosomal dominant cerebellar ataxia that is characterized by cerebellar dysarthria.,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 21,An autosomal dominant cerebellar ataxia that is characterized by progressive cerebellar ataxia,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 23,An autosomal dominnant cerebellar ataxia that is characterized by slowly progressive ataxia,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 25,An autosomal dominant cerebellar ataxia that is characterized by ataxia and sensory neuropathy,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 26,An autosomal dominant cerebellar ataxia that is characterized by slowly progressive ataxia and oculomotor abnormalities,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 27,An autosomal dominant cerebellar ataxia that is characterized by slowly progressive ataxia,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 28,An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 29,An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 30,An autosomal dominant cerebellar ataxia that is characterized by slowly progressive gait abnormalities and dysarthria,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 31,An autosomal dominant cerebellar ataxia that is characterized by late-onset ataxia,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 34,An autosomal dominant cerebellar ataxia that is characterized by papulosquamous,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 35,An autosomal dominant cerebellar ataxia that is characterized by a slowly progressive ataxia,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 36,An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 37,An autosomal dominant cerebellar ataxia that is characterized by progressive ataxia and dysarthria,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 38,An autosomal dominant cerebellar ataxia that is characterized by slowly progressive ataxia and nystagmus,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
spinocerebellar ataxia type 40,An autosomal dominant cerebellar ataxia that is characterized by progressive gait abnormalutes,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
hypomyelinating leukoencephalopathy,An autosomal dominant cerebellar ataxia that is characterized by nystagmus,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
GRID2-related spinocerebellar ataxia,An autosomal dominant cerebellar ataxia that is characterized by cognitive delay,spinocerebellar ataxia type 16,autosomal dominant cerebellar ataxia
dentatorubral-pallidoluysian atrophy,An autosomal dominant cerebellar ataxia that has_material_basis_in expansion of  CAG triplet repeats (glutamine) encoding a polyglutamine tract in the atrophin-1 protein.,Naito-Oyanagi disease,autosomal dominant cerebellar ataxia
spinocerebellar ataxia 44,An early infantile epileptic encephalopathy that has_material_basis_in heterozygous mutation in the NTRK2 gene on chromosome 9q21.,Alwadei syndrome,autosomal dominant cerebellar ataxia
spinocerebellar ataxia 45,An early infantile epileptic encephalopathy that has_material_basis_in heterozygous mutation in the NTRK2 gene on chromosome 9q21.,Alwadei syndrome,autosomal dominant cerebellar ataxia
spinocerebellar ataxia 46,An early infantile epileptic encephalopathy that has_material_basis_in heterozygous mutation in the NTRK2 gene on chromosome 9q21.,Alwadei syndrome,autosomal dominant cerebellar ataxia
Machado-Joseph disease,An autosomal dominant cerebellar ataxia that is characterized by slow degeneration of the hindbrain and has_material_basis_in expansion of CAG triplet repeats (glutamine) in the ATXN3 gene.,spinocerebellar ataxia type 3,autosomal dominant cerebellar ataxia
