Name,Definition,Synonym,Output
LADD syndrome,An autosomal dominant disease that is characterized by abnormalities affecting the lacrimal and salivary glands and ducts,LEVY-HOLLISTER SYNDROME,autosomal dominant disease
multiple endocrine neoplasia type 2A,An autosomal dominant disease characterized by medullary carcinoma of the thyroid,Sipple syndrome,autosomal dominant disease
Frasier syndrome,An autosomal dominant disease that is characterized by gonadal dysgenesis,PSEUDOGLYCOGENOSIS II,autosomal dominant disease
pachyonychia congenita,An autosomal dominant disease that is characterized by hypertrophic nails and hyperkeratosis of the hands and feet and has_material_basis in gene mutations that result in changes in keratin.,PACHYONYCHIA CONGENITA,autosomal dominant disease
Loeys-Dietz syndrome,An autosomal dominant disease that is characterized by increased risk of aortic aneurysm and dissection,N-laurylsphingosine deacylase deficiency,autosomal dominant disease
Costello syndrome,A syndrome characterized by craniofacial dysmorphology,FCS SYNDROME,autosomal dominant disease
Carney complex,An autosomal dominant disease characterized by myxomas,NAME Syndrome,autosomal dominant disease
monilethrix,An autosomal dominant disease that is characterized by short,NAME Syndrome,autosomal dominant disease
autosomal dominant nonsyndromic deafness,A nonsyndromic deafness characterized by an autosomal dominant inheritance mode.,autosomal dominant deafness,autosomal dominant disease
ADULT syndrome,An autosomal dominant disease that is characterized by light pigmentation with excessive freckling,acro-dermato-ungual-lacrimal-tooth syndrome,autosomal dominant disease
Bart-Pumphrey syndrome,An autosomal dominant disease that is characterized by leukonychia,KNUCKLE PADS,autosomal dominant disease
Beare-Stevenson cutis gyrata syndrome,An autosomal dominant disease that is characterized by cutis gyrata,KNUCKLE PADS,autosomal dominant disease
Birk-Barel syndrome,An autosomal dominant disease that is characterized by intellectual disability,Birk-Barel mental retardation dysmorphism syndrome,autosomal dominant disease
Birt-Hogg-Dube syndrome,An autosomal dominant disease that is characterized by the development of skin papules on the head,Birk-Barel mental retardation dysmorphism syndrome,autosomal dominant disease
Blau syndrome,An autosomal dominant disease characterized by familial granulomatous arthritis,Jabs syndrome,autosomal dominant disease
branchiooculofacial syndrome,An autosomal dominant disease that is characterized by low birth weight and growth retardation,brachyrachia,autosomal dominant disease
Brooke-Spiegler syndrome,An autosomal dominant disease that is characterized by the development of several types of tumors from the skin,brachyrachia,autosomal dominant disease
Brown-Vialetto-Van Laere syndrome,An autosomal dominant disease that is characterized by progressive bulbar palsies with sensorineural deafness.,brachyrachia,autosomal dominant disease
polycystic liver disease,An autosomal dominant disease that is characterized by the presence of multiple cysts located_in the liver.,fibrocystic liver disease,autosomal dominant disease
iridogoniodysgenesis syndrome,An autosomal dominant disease that is characterized by the iris stroma being hypoplastic resulting from abnormalities in the differentiation of the anterior segment structures and increased values of intraocular pressure and has_material_basis_in autosomal dominant inheritance of mutations in the PITX2 gene.,iridogoniodysgenesis type 2,autosomal dominant disease
juvenile polyposis syndrome,An autosomal dominant disease that is characterized by predisposition to hamartomatous benign polyps in the gastrointestinal tract,iridogoniodysgenesis type 2,autosomal dominant disease
proximal symphalangism,An autosomal dominant disease that is characterized by ankylosis of the proximal interphalangeal joints,Cushing's symphalangism,autosomal dominant disease
tarsal-carpal coalition syndrome,An autosomal dominant disease that is characterized by fusion of the carpals,Cushing's symphalangism,autosomal dominant disease
Muckle-Wells syndrome,A venous insufficiency that is characterized by lower extremity swelling,obstructive sleep apnea syndrome,autosomal dominant disease
Townes-Brocks syndrome,An autosomal dominant disease that is characterized by imperforate anus,SPG20,autosomal dominant disease
popliteal pterygium syndrome,An autosomal dominant disease characterized by abnormal development of the face,popliteal web syndrome,autosomal dominant disease
Timothy syndrome,An autosomal dominant disease that is characterized by cardiac,GEFS+,autosomal dominant disease
Rapp-Hodgkin syndrome,An autosomal dominant disease characterized by abnormal development of ectodermal tissues including the skin,anhidrotic ectodermal dysplasia with cleft lip/palate,autosomal dominant disease
Feingold syndrome,An autosomal dominant disease characterized by variable combinations of microcephaly,ODED syndrome,autosomal dominant disease
Holt-Oram syndrome,An autosomal dominant disease characterized by congenital anomalies located_in heart and located_in upper limb.,heart-hand syndrome,autosomal dominant disease
hand-foot-genital syndrome,A autosomal dominant disease characterized by distal limb defects (short thumbs and first toes,HFGS,autosomal dominant disease
Duane-radial ray syndrome,An autosomal dominant disease characterized by upper limb anomalies,Okihiro syndrome,autosomal dominant disease
EEC syndrome,An autosomal dominant disease characterized by ectrodactyly,Walker-Clodius syndrome,autosomal dominant disease
macrocephaly-autism syndrome,An autosomal dominant disease characterized by macrocephaly,macrocephaly-intellectual disability-autism syndrome,autosomal dominant disease
autosomal dominant keratitis-ichthyosis-deafness syndrome,An autosomal dominant disease characterized by congenital deafness,autosomal dominant KID syndrome,autosomal dominant disease
congenital nongoitrous hypothyroidism 2,A congenital hypothyroidism that has_material_basis_in heterozygous mutation in the PAX8 gene on chromosome 2q13.,congenital hypothyroidism due to thyroid dysgenesis or hypoplasia,autosomal dominant disease
congenital nongoitrous hypothyroidism 5,A congenital hypothyroidism that has_material_basis_in heterozygous mutation in the NKX2-5 gene on chromosome 5q35.,CHNG5,autosomal dominant disease
congenital nongoitrous hypothyroidism 3,A congenital hypothyroidism characterized by autosomal dominant inheritance of resistance to thyrotropin that has_material_basis_in variation in the chromosome region 15q25.3-q26.1.,CHNG3,autosomal dominant disease
congenital nongoitrous hypothyroidism 6,A congenital hypothyroidism that has_material_basis_in heterozygous mutation in the THRA gene on chromosome 17q21.1.,CHNG6,autosomal dominant disease
hereditary sensory neuropathy type 1B,A hereditary sensory neuropathy characterized by axonal neuropathy with distal sensory impairment,HSAN with cough and gastroesophageal reflux,autosomal dominant disease
hereditary sensory and autonomic neuropathy type 7,A hereditary sensory neuropathy characterized by insensitivity to pain,HSAN7,autosomal dominant disease
hereditary sensory neuropathy type 1E,A hereditary sensory neuropathy characterized by adult onset of progressive peripheral sensory loss,HSN1E,autosomal dominant disease
familial partial lipodystrophy type 2,A familial partial lipodystrophy characterized by autosomal dominant inheritance of loss of subcutaneous fat from the limbs and trunk that has_material_basis_in mutation in the LMNA gene on chromosome 1q21.,reverse partial lipodystrophy,autosomal dominant disease
familial partial lipodystrophy type 3,A familial partial lipodystrophy characterized by autosomal dominant inheritance that has_material_basis_in mutation in the PPARG gene on chromosome 3p25.,PPARG-related FPLD,autosomal dominant disease
familial partial lipodystrophy type 4,A familial partial lipodystrophy characterized by autosomal dominant inheritance of loss of subcutaneous adipose tissue primarily from the lower limbs,PLIN1-related FPLD,autosomal dominant disease
hereditary lymphedema IC,A hereditary lymphedema characterized by autosomal dominant inheritance that has_material_basis_in mutation in the GJC2 gene on chromosome 1q42.,LMPH1C,autosomal dominant disease
