Name,Definition,Synonym,Output
autosomal dominant non-syndromic intellectual disability 1,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of MBD5 on chromosome 2q23.1.,MRD1,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 2,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of DOCK8 on chromosome 9p24.,MRD2,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 3,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of CDH15 on chromosome 16q24.3.,MRD3,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 4,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of KIRREL3 on chromosome 11q24.2.,MRD4,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 5,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of SYNGAP1 on chromosome 6p21.32.,MRD5,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 6,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of GRIN2B on chromosome 12p13.1.,MRD6,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 7,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of DYRK1A on chromosome 21q22.13.,MRD7,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 8,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of GRIN1 on chromosome 9q34.3.,MRD8,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 9,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of KIF1A on chromosome 2q37.3.,MRD9,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 10,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of CACNG2 on chromosome 22q12.3.,MRD10,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 11,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of EPB41L1 on chromosome 20q11.23.,MRD11,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 13,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of DYNC1H1 on chromosome 14q32.31.,MRD13,autosomal dominant non-syndromic intellectual disability
Schuurs-Hoeijmakers Syndrome,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of PACS1 on chromosome 11q13.1-q13.2.,SHMS,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 18,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of GATAD2B on chromosome 1q21.3.,MRD18,autosomal dominant non-syndromic intellectual disability
autosomal dominant non-syndromic intellectual disability 19,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of CTNNB1 on chromosome 3p22.1.,MRD19,autosomal dominant non-syndromic intellectual disability
autosomal dominant mental retardation 20,An autosomal dominant non-syndromic intellectual disability that has_material_basis_in an autosomal dominant mutation of MEF2C on chromosome 5q14.3.,MRD20,autosomal dominant non-syndromic intellectual disability
