Name,Definition,Synonym,Output
familial adenomatous polyposis,An autosomal genetic disease that has_material_basis_in mutations in the APC gene and involves formation of numerous polyps in the epithelium of the large intestine which are initially benign and later transform into colon cancer.,adenomatous polyposis of the colon,autosomal genetic disease
Weill-Marchesani syndrome,An autosomal genetic disease characterized by short stature,Spherophakia Brachymorphia Syndrome,autosomal genetic disease
Aicardi-Goutieres syndrome,An autosomal genetic disease that is a genetically heterogeneous encephalopathy characterized in its most severe form by cerebral atrophy,Cree encephalitis,autosomal genetic disease
brachydactyly-syndactyly syndrome,An autosomal genetic disease that is characterized by brachydactyly and syndactyly,Small cell carcinoma,autosomal genetic disease
autosomal dominant disease,An autosomal genetic disease that is characterized by the presence of one disease-associated mutation of a gene which is sufficient to cause the disease.,hereditary intrinsic factor deficiency,autosomal genetic disease
autosomal recessive disease,An autosomal genetic disease that is characterized by the presence of two mutated copies of the gene,hereditary intrinsic factor deficiency,autosomal genetic disease
Matthew-Wood syndrome,An autosomal genetic disease that is characterized by microphthalmia or anophthalmia,microphthalmia syndromic type 9,autosomal genetic disease
septooptic dysplasia,An autosomal genetic disease characterized by the classical triad of optic nerve hypoplasia,SOD,autosomal genetic disease
camptodactyly-tall stature-scoliosis-hearing loss syndrome,An autosomal genetic disease characterized by camptodactyly,CATSHL syndrome,autosomal genetic disease
hereditary desmoid disease,An autosomal genetic disease characterized by extraintestinal manifestation of familial adenomatous polyposis that has_material_basis_in in some cases by extreme 3' mutation in APC on 5q22.2.,FIF,autosomal genetic disease
McCune Albright syndrome,An autosomal genetic disease that is characterized by polyostotic fibrous dysplasia,polyostotic fibrous dysplasia,autosomal genetic disease
factor XI deficiency,An autosomal genetic disease that is characterized by deficiency of factor XI clotting factor and mild prolonged bleeding,Rosenthal's disease,autosomal genetic disease
