Name,Definition,Synonym,Output
autosomal recessive congenital ichthyosis 1,An autosomal recessive congenital ichthyosis characterized by lamellar ichthyosis,bathing suit ichthyosis,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 2,An autosomal recessive congenital ichthyosis characterized by fine scales on the scalp,nonbullous congenital ichthyosiform erythroderma 1,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 3,An autosomal recessive congenital ichthyosis characterized by mild ichthyosis,lamellar ichthyosis 5,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 4A,An autosomal recessive congenital ichthyosis characterized by generalized ichthyosis and ectropion that has_material_basis_in homozygous or compound hetrezogyous mutation in the ABCA12 gene on chromosome 2q35.,lamellar ichthyosis 2,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 4B,An autosomal recessive congenital ichthyosis characterized by severe neonatal ichthyosis with bilateral ectropion and eclabium,harlequin type ichthyosis fetalis,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 5,An autosomal recessive congenital ichthyosis characterized by fine white or greyish-white scales,autosomal recessive congenital nonlamellar and nonerythrodermic ichthyosis,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 6,An autosomal recessive congenital ichthyosis characterized by generalized ichthyosis,ARCI6,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 7,An autosomal recessive congenital ichthyosis characterized by fine whitish scales,ARCI7,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 8,An autosomal recessive congenital ichthyosis characterized by diffuse lamellar ichthyosis,late-onset lamellar ichthyosis,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 9,An autosomal recessive congenital ichthyosis characterized by fine erythrodermic scales,ARCI9,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 10,An autosomal recessive congenital ichthyosis characterized by generalized ichthyosis,ARCI10,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 11,An autosomal recessive congenital ichthyosis characterized by ichthyosis,IHS,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 13,A Meier-Gorlin syndrome that has_material_basis_in compound heterozygous mutation in the MCM5 gene on chromosome 22q12.,Alwadei syndrome,autosomal recessive congenital ichthyosis
autosomal recessive congenital ichthyosis 14,A Meier-Gorlin syndrome that has_material_basis_in compound heterozygous mutation in the MCM5 gene on chromosome 22q12.,Alwadei syndrome,autosomal recessive congenital ichthyosis
