Name,Definition,Synonym,Output
xeroderma pigmentosum,An autosomal recessive disease that is characterized by a deficiency in the ability to repair ultraviolet damage that has_material_basis_in autosomal recessive inheritance of DNA repair.,Wittmaack-Ekbom syndrome,autosomal recessive disease
mulibrey nanism,An autosomal recessive disease that is characterized by global growth retardation of the muscle,PERICARDIAL CONSTRICTION AND GROWTH FAILURE,autosomal recessive disease
Antley-Bixler syndrome,An autosomal recessive disease that is characterized at birth or prenatally by malformations and deformities affecting the majority of the skeleton and other areas of the body with autosomal recessive inheritance of the FGFR2 gene.,trapezoidocephaly-synostosis syndrome,autosomal recessive disease
Donohue syndrome,An autosomal recessive disease that is characterized by protuberant and low-set ears,Leprechaunism,autosomal recessive disease
Alstrom syndrome,An autosomal recessive disease that is characterized by multiorgan dysfunction. The key features are childhood obesity,NAME Syndrome,autosomal recessive disease
Netherton syndrome,An autosomal recessive disease that is characterized by chronic skin inflammation,NAME Syndrome,autosomal recessive disease
nonphotosensitive trichothiodystrophy,An autosomal recessive disease that is characterized by brittle hair,HAIR-BRAIN SYNDROME,autosomal recessive disease
SC phocomelia syndrome,An autosomal recessive disease that is characterized by severe prenatal growth retardation resulting in malformation of the bones in the skull,SC PSEUDOTHALIDOMIDE SYNDROME,autosomal recessive disease
JMP syndrome,An autosomal recessive disease that is characterized by childhood onset of joint stiffness and severe contractures of the hands and feet,JOINT CONTRACTURES,autosomal recessive disease
Ullrich congenital muscular dystrophy,A congenital muscular dystrophy that is characterized by muscle weakness and respiratory depression and has_material_basis_in mutation in the COL6A1,Ullrich scleroatonic muscular dystrophy,autosomal recessive disease
Fukuyama congenital muscular dystrophy,A congenital muscular dystrophy that is characterized by muscle weakness,Ullrich scleroatonic muscular dystrophy,autosomal recessive disease
Walker-Warburg syndrome,A congenital muscular dystrophy that is characterized by hypotonia,HARD syndrome,autosomal recessive disease
autosomal recessive nonsyndromic deafness,A nonsyndromic deafness characterized by an autosomal recessive inheritance mode.,autosomal dominant deafness,autosomal recessive disease
Seckel syndrome,An autosomal recessive disease characterized by intrauterine growth retardation and postnatal dwarfism with microcephaly and intellectual disability.,Virchow-Seckel dwarfism,autosomal recessive disease
Senior-Loken syndrome,An autosomal recessive genetic disease characterized by progressive wasting of the filtering unit of the kidney (nephronophthisis),renal-retinal syndrome,autosomal recessive disease
Sensenbrenner syndrome,An autosomal recessive disease that is characterized by microcephaly,Levin syndrome,autosomal recessive disease
muscular dystrophy-dystroglycanopathy,A congenital muscular dystrophy characterized by muscle weakness,CMD due to dystroglycanopathy,autosomal recessive disease
asphyxiating thoracic dystrophy,An autosomal recessive disease characterized by skeletal abnormalities and resulting in difficulty in breathing caused by mutations that result in ciliopathy.,thoracic pelvic phalangeal dystrophy,autosomal recessive disease
ABCD syndrome,An autosomal recessive disease that is characterized by albinism,albinism,autosomal recessive disease
triple-A syndrome,An autosomal recessive disease characterized by achalasia,Allgrove Syndrome,autosomal recessive disease
oculocutaneous albinism,An autosomal recessive disease characterized by abnormal pigmentation of the skin,ALLAN-HERNDON SYNDROME,autosomal recessive disease
pseudo-TORCH syndrome 1,An autosomal recessive disease that is characterized by congenital microcephaly,band-like calcification with simplified gyration and polymicrogyria,autosomal recessive disease
Bjornstad syndrome,An autosomal recessive disease that is characterized by early onset of hearing loss and hair loss due to pili torti,Birk-Barel mental retardation dysmorphism syndrome,autosomal recessive disease
Athabaskan brainstem dysgenesis syndrome,An autosomal recessive disease that is characterized by brainstem dysgenesis,NAVAJO BRAINSTEM SYNDROME,autosomal recessive disease
Bowen-Conradi syndrome,An autosomal recessive disease that is characterized by growth delays,Vasterbotten dystrophy,autosomal recessive disease
rapadilino syndrome,An autosomal recessive disease that is characterized by radial ray defect,glomus body tumor,autosomal recessive disease
hydrolethalus syndrome,An autosomal recessive disease characterized by mulitple fetal developmental defects including polydactyly and central nervous system malformations that results from a single amino acid mutation of D211G of the HYLS1 gene which plays a central role in cilia formation.,Salonen-Herva-Norio syndrome,autosomal recessive disease
achalasia microcephaly syndrome,An autosomal recessive disease that is characterized by microcephaly,ACHALASIA-MICROCEPHALY SYNDROME,autosomal recessive disease
Kahrizi syndrome,An autosomal recessive disease that is characterized by mental retardation,xylosylprotein 4-beta-galactosyltransferase deficiency,autosomal recessive disease
temtamy preaxial brachydactyly syndrome,An autosomal recessive disease that is characterized by brachydactyly,PREAXIAL BRACHYDACTYLY SYNDROME,autosomal recessive disease
urofacial syndrome,An autosomal recessive disease that is characterized by inverted facial expressions in association with a severe and early-onset form of dysfunctional urinary voiding.,Ochoa syndrome,autosomal recessive disease
Perrault syndrome,An autosomal recessive disesase that is characterized by sensorineural hearing loss and ovarian failure.,obstructive sleep apnea syndrome,autosomal recessive disease
Warburg micro syndrome,An autosomal recessive disease characterized by severe intellectual disability,Warburg-Sjo-Fledelius syndrome,autosomal recessive disease
UV-sensitive syndrome,An autosomal recessive disease characterized by photosensitivity and liver spots (solar lentigines).,lip-pit syndrome,autosomal recessive disease
3-M syndrome,An autosomal recessive disease characterized by dwarfism,Yakut short stature syndrome,autosomal recessive disease
congenital secretory chloride diarrhea 1,A secretory diarrhea that has_material_basis_in mutation in the SLC26A3 gene.,congenital chloridorrhea,autosomal recessive disease
CEDNIK syndrome,An autosomal recessive disease that has_material_basis_in homozygous mutation in the SNAP29 gene and characterized by a unique constellation of clinical manifestations including microcephaly,cerebral dysgenesis,autosomal recessive disease
hypoparathyroidism-retardation-dysmorphism syndrome,An autosomal recessive disease characterized by permanent parathyroid hormone (PTH) deficiency,Sanjad-Sakati syndrome,autosomal recessive disease
Vici syndrome,An autosomal recessive disease characterized by callosal agenesis,immunodeficiency with cleft lip/palate,autosomal recessive disease
Galloway-Mowat syndrome,An autosomal recessive disease characterized_by is a rare autosomal recessive disease,nephrosis-neuronal dysmigration syndrome,autosomal recessive disease
salt and pepper syndrome,An autosomal recessive disease characterized by severe intellectual disability,salt-and-pepper syndrome,autosomal recessive disease
Pendred Syndrome,An autosomal recessive disease characterized by bilateral prelingual sensorineural hearing loss and euthyroid goiter and that has_material_basis_in homozygous or compound heterozygous mutation in the SLC26A4 gene on chromosome 7q.,thyroid dyshormonogenesis 2B,autosomal recessive disease
cleft lip-palate-ectodermal dysplasia syndrome,An autosomal recessive disease characterized by cleft lip,Zlotogora-Zilberman-Tenenbaum syndrome,autosomal recessive disease
congenital secretory sodium diarrhea 8,A secretory diarrhea that has_material_basis_in homozygous or compound heterozygous mutation in the SLC9A3 gene on chromosome 5p15.,DIAR8,autosomal recessive disease
congenital secretory sodium diarrhea 3,A secretory diarrhea that has_material_basis_in homozygous or compound heterozygous mutation in the SPINT2 gene on chromosome 19q13.,congenital secretory sodium diarrhea 3 with or without other congenital anomalies,autosomal recessive disease
Griscelli syndrome,An autosomal recessive disease characterized by silvery gray sheen of the hair and hypopigmentation of the skin.,partial albinism-immunodeficiency syndrome,autosomal recessive disease
osteoporosis-pseudoglioma syndrome,An autosomal recessive disease characterized by congenital or infancy-onset blindness,OPPG,autosomal recessive disease
Pierson syndrome,An autosomal recessive disease characterized by nephrotic syndrome with diffuse mesangial sclerosis,microcoria-congenital nephrosis syndrome,autosomal recessive disease
right atrial isomerism,A visceral heterotaxy that is characterized by complete atrioventricular septal defect with a common atrium and univentricular AV connection,Ivemark syndrome,autosomal recessive disease
microphthalmia with limb anomalies,An autosomal recessive disease that is characterized by autosomal recessive inheritance of bilateral or unilateral clinical anophthalmia or microphthalmia and synostosis,Waardenburg anophthalmia syndrome,autosomal recessive disease
Norman-Roberts syndrome,A lissencephaly that has_material_basis_in homozygous mutation in the gene encoding reelin (RELN) on chromosome 7q22.,lissencephaly syndrome,autosomal recessive disease
congenital nongoitrous hypothyroidism 4,A congenital hypothyroidism characterized by a permanent thyroid deficiency present at birth and resulting from deficiency in TSH synthesis that has_material_basis_in homozygous mutation in the TSHB gene on chromosome 1p13.,isolated thyrotropin deficiency,autosomal recessive disease
congenital nongoitrous hypothyroidism 1,A congenital hypothyroidism that has_material_basis_in mutation in the TSHR gene on chromosome 14q31.,TSH resistance,autosomal recessive disease
hereditary sensory and autonomic neuropathy type 5,A hereditary sensory neuropathy characterized by impaired pain and thermal perception in the extremities and selective reduction in small myelinated fibers that has_material_basis_in homozygous mutation in the NGF gene on chromosome 1p13.,HSAN5,autosomal recessive disease
hereditary sensory neuropathy type 4,A hereditary sensory neuropathy characterized by insensitivity to pain and anhidrosis that has_material_basis_in homozygous or compound heterozygous mutation in the NTRK1 gene on chromosome 1q23.,insensitivity to pain,autosomal recessive disease
hereditary sensory and autonomic neuropathy type 6,A hereditary sensory neuropathy characterized by neonatal hypotonia,HSAN6,autosomal recessive disease
hereditary sensory and autonomic neuropathy type 8,A hereditary sensory neuropathy characterized by congenital insensitivity to pain and decreased sweating and tear production that has_material_basis_in homozygous mutation in the PRDM12 gene on chromosome 9q34.,HSAN8,autosomal recessive disease
familial partial lipodystrophy type 5,A familial partial lipodystrophy characterized by autosomal recessive inheritance that has_material_basis_in mutation in the CIDEC gene on chromosome 3p25.,FPLD5,autosomal recessive disease
