Name,Definition,Synonym,Output
autosomal recessive limb-girdle muscular dystrophy type 2A,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding the proteolytic enzyme calpain-3 (CAPN3) on chromosome 15q15.,primary calpainopathy,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2B,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding the skeletal muscle protein dysferlin (DYSF) on chromosome 2p13.,limb-girdle muscular dystrophy type 3,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2C,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous mutation in the gamma-sarcoglycan gene (SGCG) on chromosome 13q12.,severe childhood autosomal recessive muscular dystrophy North African type,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2D,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the alpha-sarcoglycan gene (SGCA) on chromosome 17q.,primary adhalinopathy,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2E,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding beta-sarcoglycan (SGCB) on chromosome 4q12.,muscular dystrophy,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2F,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in mutation in the sarcoglycan-delta gene (SGCD).,limb-girdle muscular dystrophy due to delta-sarcoglycan deficiency,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2G,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in mutation in the gene encoding telethonin (TCAP).,muscular dystrophy,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2H,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in mutation in the gene encoding tripartite motif-containing protein-32 (TRIM32) on chromosome 9q.,sarcotubular myopathy,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2J,An autosomal recessive limb-girdle muscular dystrophy  that has_material_basis_in homozygous mutation in the titin gene (TTN).,muscular dystrophy,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2L,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the ANO5 gene on chromosome 11p14.,muscular dystrophy,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2Q,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous mutation in the PLEC1 gene.,muscular dystrophy,autosomal recessive limb-girdle muscular dystrophy
obsolete autosomal recessive limb-girdle muscular dystrophy type 2R,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous mutation in the PLEC1 gene.,muscular dystrophy,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2S,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous mutation in the TRAPPC11 gene on chromosome 4q35.,muscular dystrophy,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2W,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in compound heterozygous mutation in the LIM zinc finger domain containing 2 gene (LIMS2) on chromosome 2q14.,muscular dystrophy,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2Y,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous mutation in the TOR1AIP1 gene on chromosome 1q24.,muscular dystrophy,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2X,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous mutation in the BVES gene on chromosome 6q21.,muscular dystrophy,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2O,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous mutation in the gene encoding protein O-mannose beta-1,muscular dystrophy-dystroglycanopathy limb-girdle POMGNT1-related,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2P,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous mutation in the gene encoding alpha-dystroglycan (DAG1) on chromosome 3p21.,muscular dystrophy-dystroglycanopathy limb-girdle DAG1-related,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2T,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the GMPPB gene encoding the beta subunit of GDP-mannose pyrophosphorylase on chromosome 3p21.,muscular dystrophy-dystroglycanopathy limb-girdle GMPPB-related,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2U,An autosomal recessive limb-girdle muscular dystrophy that hhas_material_basis_in homozygous mutation in the ISPD gene on chromosome 7p21.,muscular dystrophy-dystroglycanopathy (limb-girdle) type C7,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2M,An autosomal recessive limb-girdle muscular dystrophy  that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding fukutin (FKTN) on chromosome 9q31.,muscular dystrophy-dystroglycanopathy (limb-girdle) type C 4,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2K,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding protein O-mannosyltransferase (POMT1).,muscular dystrophy-dystroglycanopathy (limb-girdle) type C 1,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2N,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the POMT2 gene on chromosome 14q24.3.,muscular dystrophy-dystroglycanopathy limb-girdle POMT2-related,autosomal recessive limb-girdle muscular dystrophy
autosomal recessive limb-girdle muscular dystrophy type 2I,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding fukutin-related protein (FKRP) on chromosome 19q13.3.,muscular dystrophy-dystroglycanopathy limb-girdle FRKP-related,autosomal recessive limb-girdle muscular dystrophy
obsolete autosomal dominant limb-girdle muscular dystrophy type 1A,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding fukutin-related protein (FKRP) on chromosome 19q13.3.,muscular dystrophy-dystroglycanopathy limb-girdle FRKP-related,autosomal recessive limb-girdle muscular dystrophy
obsolete autosomal dominant limb-girdle muscular dystrophy type 1B,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding fukutin-related protein (FKRP) on chromosome 19q13.3.,muscular dystrophy-dystroglycanopathy limb-girdle FRKP-related,autosomal recessive limb-girdle muscular dystrophy
obsolete autosomal dominant limb-girdle muscular dystrophy type 1C,An autosomal recessive limb-girdle muscular dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the gene encoding fukutin-related protein (FKRP) on chromosome 19q13.3.,muscular dystrophy-dystroglycanopathy limb-girdle FRKP-related,autosomal recessive limb-girdle muscular dystrophy
