Name,Definition,Synonym,Output
Carrion's disease,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Bordetella pertussis whooping cough,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Pseudomonas urinary tract infectious disease,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Pseudomonas endocarditis,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Pseudomonas keratitis,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete commensal Mycoplasmatales infectious disease,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete commensal Mycoplasmataceae infectious disease,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Mycoplasma genitalium urethritis,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Yersinia pseudotuberculosis mesenteric lymphadenitis,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete commensal Mycoplasma infectious disease,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Staphylococcus aureus ecthyma,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Streptococcus pyogenes ecthyma,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete streptococcal erysipelas,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Staphylococcus aureus erysipelas,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Streptococcus impetigo,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Staphylococcus aureus impetigo,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Streptococcus lymphangitis,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Staphylococcus aureus lymphangitis,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Streptococcus agalactiae meningitis,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Oroya fever,bartonellosis
obsolete Streptococcus equisimilis meningitis,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Streptococcus dysgalactiae subsp. equisimilis meningitis,bartonellosis
obsolete Streptococcus zooepidemicus meningitis,A bartonellosis that results_in infection located_in endothelial cells or located_in red blood cells,Streptococcus equi subsp. zooepidemicus meningitis,bartonellosis
bacillary angiomatosis,A bartonellosis that has_material_basis_in Bartonella henselae or has_material_basis_in Bartonella quintana. The disease is characterized by the proliferation of blood vessels,primary diffuse atrophy,bartonellosis
trench fever,A primary bacterial infectious disease that results in systemic infection,Wolhynian fever,bartonellosis
