Name,Definition,Synonym,Output
infundibulocystic basal cell carcinoma,A variant of basal cell carcinoma characterized by follicular differentiation.,skin infundibulocystic basal cell carcinoma,basal cell carcinoma
nodular basal cell carcinoma,A basal cell carcinoma characterized by elevated,skin solid (nodular) Basal cell carcinoma,basal cell carcinoma
metatypical basal cell carcinoma,A basal cell carcinoma characterized by intermediate typology between basal cell carcinoma and squamous cell carcinoma.,skin Metatypical carcinoma,basal cell carcinoma
pigmented basal cell carcinoma,A basal cell carcinoma characterized by brown or black pigmentation.,skin pigmented basal cell carcinoma,basal cell carcinoma
anal margin basal cell carcinoma,A basal cell carcinoma that is located_in the anal margin.,Basal cell carcinoma of Perianal skin,basal cell carcinoma
micronodular basal cell carcinoma,A basal cell carcinoma characterized by solid tumor nodules.,skin micronodular basal cell carcinoma,basal cell carcinoma
adamantinoid basal cell epithelioma,A female reproductive system disease that is characterized by the occlusion of some part of the female genital tract,skin adamantinoid basal cell epithelioma,basal cell carcinoma
fibroepithelial basal cell carcinoma,A female reproductive system disease that is characterized by the occlusion of some part of the female genital tract,Pinkus tumor,basal cell carcinoma
morpheaform basal cell carcinoma,A female reproductive system disease that is characterized by the occlusion of some part of the female genital tract,Morphea-type (Sclerosing) Basal cell carcinoma,basal cell carcinoma
clear cell basal cell carcinoma,A female reproductive system disease that is characterized by the occlusion of some part of the female genital tract,skin clear cell basal cell carcinoma,basal cell carcinoma
follicular basal cell carcinoma,A female reproductive system disease that is characterized by the occlusion of some part of the female genital tract,follicular (pilar) basal cell carcinoma,basal cell carcinoma
infiltrative basal cell carcinoma,A female reproductive system disease that is characterized by the occlusion of some part of the female genital tract,skin infiltrating basal cell carcinoma,basal cell carcinoma
superficial basal cell carcinoma,A female reproductive system disease that is characterized by the occlusion of some part of the female genital tract,Superficial multicentric basal-cell carcinoma,basal cell carcinoma
vulva basal cell carcinoma,A vulva carcinoma that has_material_basis in basal cells.,Basal cell carcinoma of Vulva,basal cell carcinoma
cystic basal cell carcinoma,A vulva carcinoma that has_material_basis in basal cells.,skin cystic basal cell carcinoma,basal cell carcinoma
sarcomatoid basal cell carcinoma,A vulva carcinoma that has_material_basis in basal cells.,skin sarcomatoid basal cell carcinoma,basal cell carcinoma
signet ring basal cell carcinoma,A vulva carcinoma that has_material_basis in basal cells.,skin signet ring cell basal cell carcinoma,basal cell carcinoma
basosquamous carcinoma,A substance abuse that involves the recurring use of phencyclidine (PCP) drugs despite negative consequences.,Metatypical carcinoma,basal cell carcinoma
obsolete uterine corpus soft tissue neoplasm,A substance abuse that involves the recurring use of phencyclidine (PCP) drugs despite negative consequences.,Metatypical carcinoma,basal cell carcinoma
basaloid squamous cell carcinoma,A squamous cell carcinoma that has a solid,Basaloid squamous cell carcinoma,basal cell carcinoma
