Name,Definition,Synonym,Output
bladder exstrophy,A bladder exstrophy-epispadias-cloacal exstrophy complex that is characterized by an evaginated bladder plate,exstrophy-epispadias complex,bladder disease
bladder diverticulum,An eye disease that affects the sclera,Diverticulum of bladder,bladder disease
neurogenic bladder,An adenovirus infectious disease that results_in inflammation located_in meninges,Neuropathic bladder,bladder disease
low compliance bladder,An adenovirus infectious disease that results_in inflammation located_in meninges,Low bladder compliance,bladder disease
detrusor sphincter dyssynergia,An adenovirus infectious disease that results_in inflammation located_in meninges,Low bladder compliance,bladder disease
urinary schistosomiasis,A schistosomiasis that involves parasitic infection of the urinary tract caused by a digenetic trematode Schistosoma haematobium causing cystitis,Vesical schistosomiasis,bladder disease
bladder neck obstruction,A leukodystrophy characterized by recurrent subcortical ischemic stroke and cognitive impairment.,Obstruction of bladder neck or vesicourethral orifice,bladder disease
cystitis,A bladder disease that is characterized by inflammation of the bladder.,Behcet syndrome arthropathy,bladder disease
female stress incontinence,An AIDS-related Kaposi's sarcoma and gastric Kaposi's sarcoma that is located_in the stomach.,Stress incontinence - female,bladder disease
bladder tuberculosis,An urogenital tuberculosis that is located_in urinary bladder,Tuberculous cystitis,bladder disease
