Name,Definition,Synonym,Output
bone ameloblastoma,A bone benign neoplasm that has_material_basis_in odontogenic epithelium and is located_in bone.,adrenocortical adenoma,bone benign neoplasm
osteoblastoma,A bone benign neoplasm of the bone that is characterized by clinical and histological similarity to osteoid osteomas.,non-bacterial thrombotic endocarditis,bone benign neoplasm
melanotic neuroectodermal tumor,A brain cancer that is located in the supratentorial region.,Pigmented neuroectodermal tumour of infancy,bone benign neoplasm
ossifying fibroma,A bone benign neoplasm that is located_in the mouth and results_in an overgrowth of gingival tissue due to irritation or trauma.,peripheral ossifying fibroma,bone benign neoplasm
bone epithelioid hemangioma,A breast adenocarcinoma that is characterized as a well-differentiated invasive carcinoma with regular cells arranged in well-defined tubules (typically one layer thick) surrounded by an abundant fibrohyaline stroma.,osseous hemangioma,bone benign neoplasm
lumbosacral lipoma,A synovium neoplasm that is located_in the tendon sheath.,Lipoma of the Tendon Sheath,bone benign neoplasm
obsolete secondary malignant neoplasm to the adult brain,A synovium neoplasm that is located_in the tendon sheath.,metastatic tumor to the adult brain,bone benign neoplasm
obsolete tooth abnormality,A synovium neoplasm that is located_in the tendon sheath.,congenital dentition disorder,bone benign neoplasm
obsolete borderline ovarian serous neoplasm with microinvasion,A synovium neoplasm that is located_in the tendon sheath.,congenital dentition disorder,bone benign neoplasm
fibroosseous pseudotumor of digits,A breast mucinous carcinoma that is characterized by tall columnar cells with basal,Fibroosseous Digital Pseudotumor,bone benign neoplasm
