Name,Definition,Synonym,Output
long bones of lower limb cancer,A bone cancer that is manifested in the long bones of the lower limb.,malignant neoplasm of long bones of leg,bone cancer
obsolete lower limb cancer,A malignant neoplasm that is manifested in the lower limb.,malignant neoplasm of lower limb,bone cancer
jaw cancer,A bone cancer and jaw disease that is located in the jaw and results in a swollen jaw,neoplasm of jaw,bone cancer
skull cancer,A bone cancer and jaw disease that is located in the jaw and results in a swollen jaw,neoplasm of jaw,bone cancer
adamantinoma,A bone cancer that is located_in almost exclusively in the long bones.,Dermatitis,bone cancer
obsolete malignant neoplasm of short bones of upper limb,A bone cancer that is located_in almost exclusively in the long bones.,malignant neoplasm of short bone of upper limb,bone cancer
obsolete tumors of body of uterus,A bone cancer that is located_in almost exclusively in the long bones.,malignant neoplasm of short bone of upper limb,bone cancer
obsolete tumors of body of uterus complicating pregnancy,A bone cancer that is located_in almost exclusively in the long bones.,malignant neoplasm of short bone of upper limb,bone cancer
notochordal cancer,An embryonal cancer and bone cancer and mesenchymal cell neoplasm that is located_in the notochord.,notochordal tumor,bone cancer
osteosarcoma,A bone cancer that is located_in bone that has_material_basis_in cells of mesenchymal origin.,Skeletal sarcoma,bone cancer
obsolete osteogenic neoplasm,A bone cancer that is located_in bone that has_material_basis_in cells of mesenchymal origin.,Osteogenic tumor,bone cancer
Ewing sarcoma,A bone cancer that has_material_basis in neural crest cells derives_from undeveloped,PNET of Thoracopulmonary Region,bone cancer
orbital cancer,A bone cancer that is located_in the area behind the eye and derives_from the orbit or secondarily derives_from an adjacent source (eyelid,orbital tumor,bone cancer
obsolete herpes zoster dermatitis,A bone cancer that is located_in the area behind the eye and derives_from the orbit or secondarily derives_from an adjacent source (eyelid,Herpes zoster dermatitis (disorder),bone cancer
sternum cancer,A bone cancer and neoplasm of chest wall and sternal disorder that is located_in the sternum.,mud fever,bone cancer
femoral cancer,A bone cancer that is located_in the femur.,neoplasm of femur,bone cancer
bone lymphoma,A bone cancer and lymphoma by site that results_in lymphoma starting in the bone.,Lymphoma of the bone,bone cancer
adult extraosseous osteosarcoma,An adult sarcoma of soft tissue and extraosseous osteosarcoma that is located in the soft tissues without direct attachment to the skeletal system and results in the production of osteoid,Multifocal Clear cell meningioma of Spine,bone cancer
