Name,Definition,Synonym,Output
Miura type epiphyseal chondrodysplasia,A bone developmental disease characterized by tall stature,tall stature-scoliosis-macrodactyly of the halluces syndrome,bone development disease
split hand-foot malformation,A bone development disease characterized by malformation of the central rays of the autopod and presenting with syndactyly,split-hand deformity,bone development disease
Fuhrmann syndrome,A bone development disease that is characterized by bowing of the femora,NLRP12-associated hereditary periodic fever syndrome,bone development disease
spondylocarpotarsal synostosis syndrome,A bone development disease that is characterized by postnatal progressive vertebral fusions frequently manifesting as block vertebrae,vertebral fusion with carpal coalition,bone development disease
clubfoot,A bone development disease where one or both are inclined inwards,Equinovarus deformity of foot,bone development disease
obsolete malignant neoplasm of scapula and long bones of upper limb,A bone development disease where one or both are inclined inwards,Equinovarus deformity of foot,bone development disease
dysostosis,A bone development disease that results in defective ossification of located in bone.,Rubinstein syndrome,bone development disease
osteochondrodysplasia,A bone development disease that results_in defective development of cartilage or bone.,Osteochondrodysplasia syndrome,bone development disease
obsolete primary Spirochaetales infectious disease,A bone development disease that results_in defective development of cartilage or bone.,Spirochetes infectious disease,bone development disease
obsolete Treponema infectious disease,A bone development disease that results_in defective development of cartilage or bone.,Treponemal infectious disease,bone development disease
