Name,Definition,Synonym,Output
fibular hypoplasia and complex brachydactyly,An autosomal recessive disease that is characterised by severe reduction or absence of the fibula and complex brachydactyly.,Du Pan syndrome,bone disease
bone benign neoplasm,A connective tissue benign neoplasm that is located_in bone.,non-bacterial thrombotic endocarditis,bone disease
bone remodeling disease,A bone disease that results_in formation or resorption abnormalities located_in bone.,skeletal disease,bone disease
bone development disease,A bone disease that results_in abnormal growth and development located_in bone or located_in cartilage.,skeletal disease,bone disease
ischemic bone disease,A bone disease that results_in an interruption of blood supply located_in bone.,skeletal disease,bone disease
bone structure disease,A bone disease that has_material_basis_in an abnormality in the location or function of the skeletal structure.,skeletal disease,bone disease
Crouzon syndrome-acanthosis nigricans syndrome,An autosomal dominant disease characterized by Crouzon-like features,Crouzonodermoskeletal syndrome,bone disease
skeletal tuberculosis,An extrapulmonary tuberculosis that results in formation of lesions located in bone.,osteoarticular tuberculosis,bone disease
obsolete cystic,An extrapulmonary tuberculosis that results in formation of lesions located in bone.,cystic,bone disease
bone inflammation disease,A bone disease that results_in inflammation of the located_in bone.,osteitis,bone disease
arthropathy,A bone disease that is located_in the joint.,Joint ankylosis of the upper arm,bone disease
obsolete chondrogenic neoplasm,A bone disease that is located_in the joint.,Chondromatous tumor,bone disease
obsolete mediastinum chondroma,A bone disease that is located_in the joint.,Chondroma of mediastinum,bone disease
