Name,Definition,Synonym,Output
intestinal botulism,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA,Steroid-modified tinea infection,botulism
foodborne botulism,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA,prolonged electroretinal response suppression,botulism
wound botulism,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA,prolonged electroretinal response suppression,botulism
infant botulism,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete opportunistic Burkholderiaceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Burkholderia cenocepacia infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete commensal Chlamydiaceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Bilophila wadsworthia necrotizing fasciitis,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete commensal Enterobacteriaceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete opportunistic Enterobacteriaceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Elizabethkingia meningoseptica infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Capnocytophaga canimorsus infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete opportunistic Flavobacteriaceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Chryseobacterium indologenes infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Empedobacter brevis endophthalmitis,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Myroides odoratus necrotizing fasciitis,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete commensal Fusobacteriaceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete primary Mycoplasmataceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete commensal Neisseriaceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete commensal Pasteurellaceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete commensal Haemophilus infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Leptospiraceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Spirochaetaceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete primary Spirillaceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete anaplasmosis,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Burkholderia cepacia complex infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete opportunistic Campylobacteraceae infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Campylobacter fetus infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Campylobacter coli infectious disease,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
obsolete Chlamydia trachomatis epididymitis,A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA or B) in infants,prolonged electroretinal response suppression,botulism
