Name,Definition,Synonym,Output
brain meningioma,A brain cancer that is characterized by tumor of the meninges,skeletal system cancer,brain cancer
brain glioma,A brain cancer that has_material_basis_in glial cells.,lower grade glioma,brain cancer
supratentorial cancer,A brain cancer that is located in the supratentorial region.,malignant Supratentorial tumor,brain cancer
atypical teratoid rhabdoid tumor,A brain cancer that is usually located in the brain,rhabdoid tumor predisposition syndrome,brain cancer
obsolete childhood malignant central nervous system neoplasm,A brain cancer that is usually located in the brain,malignant pediatric tumor of CNS,brain cancer
brain sarcoma,A brain cancer that is characterized by abnormally proliferating cells,sarcoma of the brain,brain cancer
cerebral neuroblastoma,A brain cancer that is characterized by small,neuroblastoma of the cerebral hemisphere,brain cancer
obsolete regional neuroblastoma,A brain cancer that is characterized by small,neuroblastoma of the cerebral hemisphere,brain cancer
infratentorial cancer,A brain cancer that is located_in the infratentorial region.,malignant Infratentorial tumors,brain cancer
gliomatosis cerebri,A brain cancer that is characterized by a pattern of diffuse infiltration of the brain that affect various areas of the cerebral lobes and has_material_basis_in abnormally proliferating cells,Gliomatosis cerebri,brain cancer
obsolete T lymphocyte deficiency,A brain cancer that is characterized by a pattern of diffuse infiltration of the brain that affect various areas of the cerebral lobes and has_material_basis_in abnormally proliferating cells,Gliomatosis cerebri,brain cancer
