Name,Definition,Synonym,Output
mammary Paget's disease,A breast adenocarcinoma that has_material_basis_in epidermal Paget cells,Paget's disease of the breast,breast adenocarcinoma
breast signet ring cell adenocarcinoma,A breast adenocarcinoma that is characterized by the presence of numerous cells containing intracellular mucin,signet ring cell carcinoma of breast,breast adenocarcinoma
breast mucinous carcinoma,A breast adenocarcinoma in which at least one half of the tumor volume is extracellular mucin throughout.,mucinous carcinoma of breast,breast adenocarcinoma
breast secretory carcinoma,A breast adenocarcinoma that has_material_basis_in cells with abundant granular or clear vacuolated cytoplasm.,Juvenile Secretory carcinoma of breast,breast adenocarcinoma
glycogen-rich clear cell breast carcinoma,A breast adenocarcinoma that is characterized by predominantly clear cytoplasm due to glycogen.,glycogen-rich carcinoma,breast adenocarcinoma
obsolete miscellaneous mesenchymal neoplasm,A breast adenocarcinoma that is characterized by predominantly clear cytoplasm due to glycogen.,glycogen-rich carcinoma,breast adenocarcinoma
breast medullary carcinoma,A breast adenocarcinoma that is characterized by a syncitial growth pattern and high grade cytology.,medullary carcinoma of breast,breast adenocarcinoma
acinic cell breast carcinoma,A breast adenocarcinoma that is characterized by widespread acinar cell-like differentiation.,pancreatic acinar cell carcinoma,breast adenocarcinoma
inflammatory breast carcinoma,A breast adenocarcinoma that is characterized by the clinical appearance of inflammation,Mastitis carcinomatosa,breast adenocarcinoma
obsolete recurrent extraskeletal chondrosarcoma,A breast adenocarcinoma that is characterized by the clinical appearance of inflammation,relapsed extraskeletal chondrosarcoma,breast adenocarcinoma
breast apocrine carcinoma,A breast adenocarcinoma that is characterized by abundant eosinophilic cytoplasm,breast Apocrine carcinoma,breast adenocarcinoma
oncocytic breast carcinoma,A breast adenocarcinoma that is characterized by abundant eosinophilic cytoplasm due to large numbers of mitochondria.,breast Apocrine carcinoma,breast adenocarcinoma
invasive tubular breast carcinoma,A breast adenocarcinoma that is characterized as a well-differentiated invasive carcinoma with regular cells arranged in well-defined tubules (typically one layer thick) surrounded by an abundant fibrohyaline stroma.,tubular carcinoma of breast,breast adenocarcinoma
