Name,Definition,Synonym,Output
breast lobular carcinoma,A breast carcinoma that derives_from breast lobules (milk glands).,clear-cell ovarian carcinoma,breast carcinoma
luminal breast carcinoma,A Hermansky-Pudlak syndrome that has_material_basis_in homozygous mutation in the gene encoding palladin (BLOC1S6) on chromosome 15q21.,luminal breast cancer,breast carcinoma
breast ductal carcinoma,A breast carcinoma that derives_from the lining of milk ducts.,duct carcinoma,breast carcinoma
breast adenocarcinoma,A breast carcinoma that originates in the milk ducts and/or lobules (glandular tissue) of the breast.,Mammary adenocarcinoma,breast carcinoma
breast metaplastic carcinoma,A breast carcinoma that represents a mixed group of malignant neoplasms characterized by the histologic presence of two or more cellular types.,Metaplastic carcinoma of the breast,breast carcinoma
breast adenoid cystic carcinoma,A breast carcinoma that is characterized by the presence of a dual cell population of luminal and basaloid cells arranged in specific growth patterns.,Mammary Adenocystic carcinoma,breast carcinoma
Ehrlich tumor carcinoma,A vulvar benign neoplasm of neural origin that is characterized by round to polyhedral cells with indistinct margins and granular cytoplasm due to the accumulation of lysosomes. They occur in ribbons or clumps separated by hyalinised stroma and collaged fibers with uniform,Ehrlich's tumor,breast carcinoma
breast papillary carcinoma,A breast carcinoma that is characterized by the presence of arborescent fibrovascular stalks lined by epithelial cells,solid papillary carcinoma of the breast,breast carcinoma
lipid-rich carcinoma,A breast carcinoma characterized by the presence of malignant epithelial cells with clear cytoplasm which contains neutral lipids.,disorder of cranial nerve,breast carcinoma
obsolete invasive carcinoma,A carcinoma that results_in a lesion that breaks through the boundary located_in the duct or located_in the lobule.,disorder of cranial nerve,breast carcinoma
cribriform carcinoma,A breast carcinoma that is characterized by an irregular cribriform growth pattern,ductal carcinoma,breast carcinoma
sebaceous breast carcinoma,A breast carcinoma that is characterized by a lobular or nested growth pattern of tumor cells variably admixed with cells displaying sebaceous differentiation. It is a distinct variant of invasive ductal carcinoma.,Sebaceous neoplasm,breast carcinoma
nipple carcinoma,A breast carcinoma that is located_in the nipple.,malignant tumor of Nipple,breast carcinoma
breast large cell neuroendocrine carcinoma,A breast carcinoma that is characterized by large cell size,Forestier disease,breast carcinoma
bilateral breast cancer,A breast carcinoma that is characterized by an individual having breast cancer in both breasts,Bilateral breast carcinoma,breast carcinoma
breast myoepithelial carcinoma,A breast carcinome that is composed entirely or almost entirely of malignant spindle cells with myoepithelial differentiation.,peripheral neuroblastoma,breast carcinoma
breast scirrhous carcinoma,A breast carcinoma that is characterized by the presence of hard,scirrhous carcinoma of breast,breast carcinoma
female breast carcinoma,A breast carcinoma that is manifested in the female breast.,Mammary carcinoma of female breast,breast carcinoma
obsolete vascular hemorrhagic disorder,A breast carcinoma that is manifested in the female breast.,Mammary carcinoma of female breast,breast carcinoma
sporadic breast cancer,A breast carcinoma that occurs in people who do not have a family history of that cancer or an inherited change in their DNA that would increase their risk for that cancer.,gastric intestinal type adenocarcinoma,breast carcinoma
