Name,Definition,Synonym,Output
glycogen metabolism disorder,A carbohydrate metabolism disorder that is characterized by abnormal accumulation or depletion of liver glycogen.,hepatorenal tyrosinemia,carbohydrate metabolic disorder
NGLY1-deficiency,A carbohydrate metabolic disorder that is characterized by global developmental delay,NGLY1-CDDG,carbohydrate metabolic disorder
lactose intolerance,A tic disorder that is characterized by single or multiple motor or phonic tics,LM - Lactose malabsorption,carbohydrate metabolic disorder
hyperinsulinemic hypoglycemia,A carbohydrate metabolic disorder that involves low blood glucose resulting from an excess of insulin.,persistent hyperinsulinemia hypoglycemia of infancy,carbohydrate metabolic disorder
obsolete lower limb lymph node mast cell malignancy,A carbohydrate metabolic disorder that involves low blood glucose resulting from an excess of insulin.,Mast cell malignancy of lymph nodes of inguinal region and lower limb (disorder),carbohydrate metabolic disorder
obsolete Bunyaviridae infectious disease,A (-)ssRNA virus infectious disease that results_in infection in rodents and humans,Mast cell malignancy of lymph nodes of inguinal region and lower limb (disorder),carbohydrate metabolic disorder
glucosephosphate dehydrogenase deficiency,A carbohydrate metabolic disorder that is characterised by abnormally low levels of glucose-6-phosphate dehydrogenase (abbreviated G6PD or G6PDH).,Glucose-6-phosphate dehydrogenase deficiency,carbohydrate metabolic disorder
obsolete vision disorder,A carbohydrate metabolic disorder that is characterised by abnormally low levels of glucose-6-phosphate dehydrogenase (abbreviated G6PD or G6PDH).,visual disorder,carbohydrate metabolic disorder
primary hyperoxaluria,An autosomal recessive disease that has_material_basis_in rare mutations in two DNA excision repair proteins,renal Cyst,carbohydrate metabolic disorder
pyruvate decarboxylase deficiency,A carbohydrate metabolic disorder characterized by the buildup of lactic acid in the body and a variety of neurological problems and caused by a deficiency of one of the three enzymes in the pyruvate dehydrogenase complex.,pyruvate dehydrogenase deficiency,carbohydrate metabolic disorder
pyruvate carboxylase deficiency disease,A carbohydrate metabolic disorder that is characterized by deficiency of pyruvate carboxylase causing decreased utilization of carbohydrates and toxic accumulation of lactic acid,deficiency of pyruvic carboxylase,carbohydrate metabolic disorder
fructose-1,A carbohydrate metabolic disorder that has_material_basis_in a deficiency of fructose-1,fructose-1,carbohydrate metabolic disorder
obsolete inborn errors fructose metabolism,A carbohydrate metabolic disorder that has_material_basis_in a deficiency of fructose-1,fructose-1,carbohydrate metabolic disorder
congenital disorder of glycosylation,A carbohydrate metabolic disorder that involves deficient or defective glycosylation of a variety of tissue proteins and/or lipids.,carbohydrate-deficient glycoprotein syndrome,carbohydrate metabolic disorder
hereditary fructose intolerance syndrome,An extrapulmonary tuberculosis that results in formation of tiny lesions in all the organs.,Fructosemia,carbohydrate metabolic disorder
galactosemia,A carbohydrate metabolic disorder that involves a defect in galactose metabolism resulting in toxic levels of galactose 1-phosphate in various tissues.,Galactose intolerance,carbohydrate metabolic disorder
