Name,Definition,Synonym,Output
small cell carcinoma,A carcinoma that is an undifferentiated neoplasm composed of primitive-appearing cells.,Small cell carcinoma,carcinoma
vaginal carcinoma,A vaginal cancer that has_material_basis_in epithelial cells.,appendix carcinoid endocrine tumour,carcinoma
lymph node adenoid cystic carcinoma,A lymph node cancer that is characterized by a distinctive pattern in which abnormal nests or cords of epithelial cells surround and/or infiltrate ducts or glandular structures of the lymph nodes. These structures are typically filled with a mucous-like material or contain abnormal fibrous membranes.,lymph node adenoid cystic cancer,carcinoma
NUT midline carcinoma,A carcinoma that is characterized by a  BRD4-NUT translocation involving the rearrangement of the bromodomain-containing protein 4 (BRD4) and the gene encoding nuclear protein of the testis (NUT)  at 15q14,nuclear protein in testis midline carcinoma,carcinoma
prostate carcinoma,A prostate cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,carcinoma of prostate,carcinoma
vulva carcinoma,A vulva cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,Vulvar carcinoma,carcinoma
cecum carcinoma,A cecum cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,Cecal cancer,carcinoma
colon carcinoma,A colon cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,Colonic carcinoma,carcinoma
parathyroid carcinoma,An endocrine gland cancer located_in the parathyroid glands located in the neck.,parathyroid neoplasm,carcinoma
head and neck carcinoma,A head and neck cancer that has_material_basis_in epithelial cells and is located in the upper aerodigestive tract,carcinoma of the neck,carcinoma
obsolete metastatic neoplasm of parathyroid,A head and neck cancer that has_material_basis_in epithelial cells and is located in the upper aerodigestive tract,metastatic tumor of Parathyroid,carcinoma
obsolete glandular and epithelial neoplasm,A head and neck cancer that has_material_basis_in epithelial cells and is located in the upper aerodigestive tract,metastatic tumor of Parathyroid,carcinoma
obsolete gestational diabetes complicating pregnancy,A head and neck cancer that has_material_basis_in epithelial cells and is located in the upper aerodigestive tract,Diabetes mellitus,carcinoma
squamous cell carcinoma,A carcinoma that derives_from squamous epithelial cells.,squamous cell Epithelioma,carcinoma
neuroendocrine carcinoma,A carcinoma that derives_from neuroendocrine cells.,peripheral ossifying fibroma,carcinoma
obsolete secondary malignant neoplasm to the pancreas,A carcinoma that derives_from neuroendocrine cells.,secondary malignant neoplasm of pancreas (disorder),carcinoma
fallopian tube carcinoma,A fallopian tube cancer that is located_in the fallopian tube.,fallopian tube Ca,carcinoma
ovary epithelial cancer,An ovarian cancer that is derives_from ovarian surface epithelium.,Ovarian Surface epithelial-Stromal tumor,carcinoma
glottis carcinoma,A respiratory system cancer that is located_in the larynx.,Glottic carcinoma,carcinoma
