Name,Definition,Synonym,Output
central nervous system primitive neuroectodermal neoplasm,A central nervous system cancer of children and young adults that develops from neural crest cells located_in cerebrum,skeletal system cancer,central nervous system cancer
central nervous system sarcoma,A central nervous system cancer develops from transformed cells of mesenchymal origin located_in brain and spine,sarcoma of the CNS,central nervous system cancer
astrocytoma,A malignant glioma that is has_material_basis_in astrocyte cells,cerebral astrocytoma,central nervous system cancer
meningioma,A central nervous system cancer that are manifested in the central nervous system and arise from the arachnoid cap cells of the arachnoid villi in the meninges.,supratentorial meningioma,central nervous system cancer
obsolete viral hemorrhagic septicemia,A viral infectious disease that results_in infection in fish,Egtved Disease,central nervous system cancer
obsolete upper limb lymph node mast cell malignancy,A viral infectious disease that results_in infection in fish,Mast cell malignancy of lymph nodes of axilla and upper limb (disorder),central nervous system cancer
central nervous system rhabdomyosarcoma,A rhabdomyosarcoma and sarcoma of liver that are located_in the liver.,Rhabdomyosarcoma of the CNS,central nervous system cancer
central nervous system germ cell tumor,A central nervous system cancer that is characterized by tumors near the pineal gland,germ cell tumor of the CNS,central nervous system cancer
central nervous system melanocytic neoplasm,A central nervous system cancer that is characterized by melanocytic neoplasm that develops from melanocytes,primary melanocytic Lesions of the CNS,central nervous system cancer
obsolete leptomeningeal neoplasm,A central nervous system cancer that is characterized by melanocytic neoplasm that develops from melanocytes,tumor of leptomeninges,central nervous system cancer
central nervous system mesenchymal non-meningothelial tumor,A central nervous system cancer that is characterized by mesenchymal tumors within the CNS that develops from meninges,Non-meningothelial mesenchymal tumor,central nervous system cancer
spinal cancer,A central nervous system cancer that is located_in the spinal cord. It is mostly formed from metastases from primary cancers elsewhere (commonly breast,tumor of the Spinal Cord,central nervous system cancer
obsolete anaplastic meningioma,A central nervous system cancer that is located_in the spinal cord. It is mostly formed from metastases from primary cancers elsewhere (commonly breast,meningioma,central nervous system cancer
central nervous system hematologic cancer,A hematologic cancer and central nervous system neoplasm that is located_in the central nervous system.,hematopoietic neoplasm of central nervous system,central nervous system cancer
adult central nervous system choriocarcinoma,A choriocarcinoma that is located in the central nervous system of an adult.,Choriocarcinoma of the adult central nervous system,central nervous system cancer
