Name,Definition,Synonym,Output
cerebral cavernous malformation,A cerebrovascular disease that is characterized by dilated blood-filled capillaries lacking structural support.,familial cavernous angioma,cerebrovascular disease
cerebral artery occlusion,A corneal disease characterized by structural changes within the cornea causing it to thin and change,conical cornea,cerebrovascular disease
basal ganglia cerebrovascular disease,Alpha thalassemia is a thalassemia involving the genes HBA1and HBA2 hemoglobin genes.,alpha-Thalassemia,cerebrovascular disease
cerebral arteritis,A central nervous system disease that is characterized by the collection or gathering of pus within the subdural space.,Cerebral arteritis,cerebrovascular disease
intracranial arterial disease,A syndrome that involves pre-excitation of the ventricles due to an accessory pathway providing an abnormal electrical communication from the atria to the ventricles.,syndrome of short P-R interval,cerebrovascular disease
intracranial vasospasm,A cerebral arterial disease characterized by constriction of certain arteries at the base of the brain. Blood flow is blocked by the constriction and also by blood clots.,progressive intracranial arterial occlusion,cerebrovascular disease
brain ischemia,An ischemia that is characterized by insufficient blood flow to the brain to meet metabolic demand.,Ischemic encephalopathy,cerebrovascular disease
carotid artery disease,A lymphatic system disease that is characterized by an excessive number of histiocytes.,disorder of carotid artery,cerebrovascular disease
brain infarction,A cerebrovascular disease that is characterized by tissue necrosis located_in the brain,carcinoma of skin,cerebrovascular disease
intracranial thrombosis,A rheumatic disease and collagen disease that involves the abnormal growth of connective tissue,cerebral thrombosis,cerebrovascular disease
intracranial embolism,A hypersensitivity reaction type IV disease that is characterized by chronic urticarial rash and monoclonal IgM gammopathy,Cerebral embolism with cerebral infarction,cerebrovascular disease
occlusion precerebral artery,A papillary carcinoma that is located_in the kidney pelvis.,occlusion and stenosis of precerebral artery,cerebrovascular disease
anterior spinal artery syndrome,A substance abuse that involves the recurring use of amphetamines despite negative consequences.,Anterior spinal artery occlusion syndrome,cerebrovascular disease
