Name,Definition,Synonym,Output
frontal lobe neoplasm,A squamous cell carcinoma that is located_in the trachea.,tumor of Frontal Lobe,cerebrum cancer
obsolete group B streptococcal pneumonia,A commensal streptococcal infectious disease that is caused by group B streptococci (Streptococcus agalactiae) usually infecting neonates and the elderly.,Pneumonia due to Streptococcus Group B,cerebrum cancer
obsolete group A streptococcal pneumonia,A commensal streptococcal infectious disease that is caused due to the infection by group A streptococci,pneumonia due to streptococcus group A,cerebrum cancer
obsolete malignant neoplasm of corpus uteri,A commensal streptococcal infectious disease that is caused due to the infection by group A streptococci,malignant neoplasm of corpus uteri,cerebrum cancer
obsolete leukemic reticuloendotheliosis of intrathoracic lymph nodes,A commensal streptococcal infectious disease that is caused due to the infection by group A streptococci,Leukemic reticuloendotheliosis of intrathoracic lymph nodes [dup] (disorder),cerebrum cancer
obsolete spontaneous abortion complicated by genital tract and pelvic infectious disease,A commensal streptococcal infectious disease that is caused due to the infection by group A streptococci,spontaneous abortion,cerebrum cancer
parietal lobe neoplasm,A cerebrum cancer that is located_in the parietal lobe.,tumor of Parietal Lobe,cerebrum cancer
temporal lobe neoplasm,A central nervous system cancer develops from transformed cells of mesenchymal origin located_in brain and spine,tumor of Temporal Lobe,cerebrum cancer
cerebral ventricle cancer,A cerebrum cancer that is located_in the cerebral ventricles.,Intraventricular tumor of brain,cerebrum cancer
cerebral lymphoma,A cerebrum cancer that affects the lymph cells and derives_from the brain.,primary Lymphoma of Cerebrum,cerebrum cancer
obsolete ALPS-associated lymphoma,A cerebrum cancer that affects the lymph cells and derives_from the brain.,primary Lymphoma of Cerebrum,cerebrum cancer
obsolete localized lymphoma,A cerebrum cancer that affects the lymph cells and derives_from the brain.,primary Lymphoma of Cerebrum,cerebrum cancer
cerebral meningioma,A viral gastritis that involves inflammation of the stomach lining caused by herpes simplex virus.,meningioma of Cerebrum,cerebrum cancer
childhood cerebral astrocytoma,A functioning pituitary adenoma that characterized by excess cortisol a primary cause of Cushing's syndrome.,pediatric astrocytoma of Cerebrum,cerebrum cancer
cerebral primitive neuroectodermal tumor,A leiomyosarcoma that is located_in the superior vena cava.,PNET of Cerebrum,cerebrum cancer
occipital lobe neoplasm,A skin disease that is located_in the sebaceous gland.,tumor of Occipital Lobe,cerebrum cancer
obsolete carcinoma in situ of male genital organs,A skin disease that is located_in the sebaceous gland.,carcinoma in situ of other and unspecified male genital organs (disorder),cerebrum cancer
obsolete mycosis fungoides involving intrapelvic lymph nodes,A skin disease that is located_in the sebaceous gland.,Mycosis fungoides of intrapelvic lymph nodes (disorder),cerebrum cancer
