Name,Definition,Synonym,Output
cervix carcinoma,A cervical cancer that is located_in the cervix uteri or located_in the cervical area and that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,carcinoma of the Cervix Uteri,cervical cancer
obsolete commensal streptococcal infectious disease,A cervical cancer that is located_in the cervix uteri or located_in the cervical area and that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,Streptococcus infection,cervical cancer
obsolete commensal Escherichia coli infectious disease,A cervical cancer that is located_in the cervix uteri or located_in the cervical area and that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.,Infection due to Escherichia coli (disorder),cervical cancer
obsolete Rhabditida infectious disease,A Chromadorea infectious disease that involves infection by parasitic nematodes of the order Rhabditida,Infection due to Escherichia coli (disorder),cervical cancer
epithelioid trophoblastic tumor,A pancreatic carcinoma located_in the pancreatic duct.,molar pregnancy,cervical cancer
cervical carcinosarcoma,A cervical cancer that has_material_basis_in carcinomatous (epithelial tissue) and sarcomatous (connective tissue) components.,cervical mixed epithelial and mesenchymal neoplasm,cervical cancer
cervix melanoma,A cervical cancer that has_material_basis_in abnormally proliferating cells derives_from melanocytes.,Dermatitis due to arnica,cervical cancer
cervical alveolar soft part sarcoma,An alveolar soft part sarcoma and cervical soft tissue tumor and malignant neoplasm of cervix uteri that is located_in the cervix.,Seminoma,cervical cancer
obsolete cervical soft tissue tumor,An alveolar soft part sarcoma and cervical soft tissue tumor and malignant neoplasm of cervix uteri that is located_in the cervix.,Seminoma,cervical cancer
obsolete arachnoid cyst,An alveolar soft part sarcoma and cervical soft tissue tumor and malignant neoplasm of cervix uteri that is located_in the cervix.,Leptomeningeal Cyst,cervical cancer
obsolete central nervous system cyst,An alveolar soft part sarcoma and cervical soft tissue tumor and malignant neoplasm of cervix uteri that is located_in the cervix.,Cyst of the CNS,cervical cancer
cervix endometrial stromal tumor,A cervical cancer that derives_from the fibrous connective tissue of the endometrium.,endometrial stromal sarcoma of the cervix,cervical cancer
cervical adenomyoma,An adenomyoma that is located_in the cervix.,uterine corpus adenomyoma,cervical cancer
cervical adenosquamous carcinoma,A cervical carcinoma that derives_from squamous cells and gland-like cells.,Adenosquamous cell carcinoma of the Cervix Uteri,cervical cancer
