Name,Definition,Synonym,Output
signet ring cell variant cervical mucinous adenocarcinoma,A cervical mucinous adenocarcinoma that is characterized by the presence of signet ring cells.,Rheumatic mitral valve regurgitation,cervical mucinous adenocarcinoma
cervical adenoma malignum,A cervical mucinous adenocarcinoma that is well differentiated,hemangioma of Cerebrum,cervical mucinous adenocarcinoma
obsolete malignant neoplasm of nipple,A cervical mucinous adenocarcinoma that is well differentiated,malignant tumor of Nipple,cervical mucinous adenocarcinoma
villoglandular variant cervical mucinous adenocarcinoma,A cervical mucinous adenocarcinoma that is characterized by a dominant pattern of well differentiated,acute appendicitis with peritoneal abscess,cervical mucinous adenocarcinoma
intestinal variant cervical mucinous adenocarcinoma,A cervical mucinous adenocarcinoma that is characterized by areas of intestinal type differentiation.,acute appendicitis with peritoneal abscess,cervical mucinous adenocarcinoma
endocervical type cervical mucinous adenocarcinoma,A cervical mucinous adenocarcinoma that is characterized by areas of intestinal type differentiation.,acute appendicitis with peritoneal abscess,cervical mucinous adenocarcinoma
obsolete type 1b ALPS,A cervical mucinous adenocarcinoma that is characterized by areas of intestinal type differentiation.,acute appendicitis with peritoneal abscess,cervical mucinous adenocarcinoma
obsolete type 2 ALPS,A cervical mucinous adenocarcinoma that is characterized by areas of intestinal type differentiation.,acute appendicitis with peritoneal abscess,cervical mucinous adenocarcinoma
obsolete localized PNET of bone,A cervical mucinous adenocarcinoma that is characterized by areas of intestinal type differentiation.,localized Neuroepithelioma of bone,cervical mucinous adenocarcinoma
obsolete metastatic peripheral neuroepithelioma of bone,A cervical mucinous adenocarcinoma that is characterized by areas of intestinal type differentiation.,localized Neuroepithelioma of bone,cervical mucinous adenocarcinoma
