Name,Definition,Synonym,Output
bone chondrosarcoma,A chondrosarcoma that is located_in bone.,adrenocortical adenoma,chondrosarcoma
mesenchymal chondrosarcoma,An amnestic disorder that involves a loss of one's pre-existing memories to conscious recollection.,Pituitary gland Basophilic adenoma,chondrosarcoma
extraosseous chondrosarcoma,A chondrosarcoma that is located_in exclusively soft tissue.,mesenchymal extraosseous chondrosarcoma,chondrosarcoma
periosteal chondrosarcoma,A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.,Periosteal chondrosarcoma,chondrosarcoma
myxoid chondrosarcoma,A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.,Periosteal chondrosarcoma,chondrosarcoma
localized chondrosarcoma,A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.,Periosteal chondrosarcoma,chondrosarcoma
obsolete recurrent chondrosarcoma,A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.,relapsed chondrosarcoma,chondrosarcoma
obsolete metastatic chondrosarcoma,A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.,relapsed chondrosarcoma,chondrosarcoma
juxtacortical chondrosarcoma,A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.,Juxtacortical chondrosarcoma,chondrosarcoma
clear cell chondrosarcoma,A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.,Clear cell chondrosarcoma,chondrosarcoma
obsolete tuberculous lung cavity,A pulmonary tuberculosis characterized by tubercles formation which coalesce into consolidated areas. Caseation and softening of these areas,tuberculous cavity of lung,chondrosarcoma
