Name,Definition,Synonym,Output
Wolf-Hirschhorn syndrome,A chromosomal deletion syndrome that is characterized by distinct craniofacial features,Pitt-Rogers-Danks Syndrome,chromosomal deletion syndrome
chromosome 10q23 deletion syndrome,A chromosomal gene deletion syndrome that is characterized by dysmorphic facies,Blomstrand lethal chondrodysplasia,chromosomal deletion syndrome
distal 10q deletion syndrome,A chromosomal deletion syndrome that is characterized by developmental delay,terminal chromosome 10q26 deletion syndrome,chromosomal deletion syndrome
chromosome 13q14 deletion syndrome,A chromosomal deletion syndrome that is characterized by low birth weight,deletion 13q14,chromosomal deletion syndrome
chromosome 14q11-q22 deletion syndrome,A chromosomal deletion syndrome that is characterized by microcephaly,14q11.2 microdeletion syndrome,chromosomal deletion syndrome
chromosome 15q11.2 deletion syndrome,A chromosomal deletion syndrome that is characterized by intellectual disbaility,15q11.2 microdeletion syndrome,chromosomal deletion syndrome
chromosome 15q13.3 microdeletion syndrome,A chromosomal deletion syndrome that is characterized by intellectual dsability,15q13.3 microdeletion syndrome,chromosomal deletion syndrome
chromosome 15q24 deletion syndrome,A chromosomal deletion syndrome that is characterized by dysmorphic facial features,15q24 microdeletion syndrome,chromosomal deletion syndrome
chromosome 15q25 deletion syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,15q24 microdeletion syndrome,chromosomal deletion syndrome
chromosome 15q26-qter deletion syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,telomeric 15q deletion syndrome,chromosomal deletion syndrome
chromosome 16p11.2 deletion syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,distal 16p11.2 microdeletion syndrome,chromosomal deletion syndrome
chromosome 16p12.1 deletion syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,distal 16p11.2 microdeletion syndrome,chromosomal deletion syndrome
chromosome 16p12.2-p11.2 deletion syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,16p11.2p12.2 microdeletion syndrome,chromosomal deletion syndrome
chromosome 16q22 deletion syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,16p11.2p12.2 microdeletion syndrome,chromosomal deletion syndrome
