Name,Definition,Synonym,Output
chromosome 16p11.2 duplication syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,proximal trisomy 16p11.2,chromosomal duplication syndrome
chromosome 16p13.3 duplication syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,telomeric duplication 16p,chromosomal duplication syndrome
chromosome 17p13.3 duplication syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,trisomy 17p13.3,chromosomal duplication syndrome
chromosome 17q12 duplication syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,trisomy 17q12,chromosomal duplication syndrome
chromosome 17q21.31 duplication syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,trisomy 17q21.31,chromosomal duplication syndrome
chromosome 1q21.1 duplication syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,trisomy 1q21.1,chromosomal duplication syndrome
chromosome 22q11.2 microduplication syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,trisomy 22q11.2,chromosomal duplication syndrome
chromosome 22q13 duplication syndrome,A chromosomal deletion syndrome that is characterized by intellectual disability and developmental delay,trisomy 22q11.2,chromosomal duplication syndrome
chromosome 2q31.1 duplication syndrome,An epithelial-stromal TGFBI dystrophy that is characterized by recurrent erosions and honeycomb-shaped opacification located_in the cornea,Schlichting dystrophy,chromosomal duplication syndrome
chromosome 3q29 microduplication syndrome,An epithelial-stromal TGFBI dystrophy that is characterized by recurrent erosions and honeycomb-shaped opacification located_in the cornea,trisomy 3q29,chromosomal duplication syndrome
chromosome 5p13 duplication syndrome,An epithelial-stromal TGFBI dystrophy that is characterized by recurrent erosions and honeycomb-shaped opacification located_in the cornea,trisomy 5p13,chromosomal duplication syndrome
chromosome Xp11.23-p11.22 duplication syndrome,An epithelial-stromal TGFBI dystrophy that is characterized by recurrent erosions and honeycomb-shaped opacification located_in the cornea,trisomy Xp11.22-p11.23,chromosomal duplication syndrome
Potocki-Lupski syndrome,A chromosomal duplication syndrome characterized by hypotonia,trisomy 17p11.2,chromosomal duplication syndrome
partial trisomy distal 4q,A chromosomal duplication syndrome characterized by growth deficiency,Partial Trisomy 4q Syndrome,chromosomal duplication syndrome
