Name,Definition,Synonym,Output
descending colon cancer,A parasitic helminthiasis infectious disease that involves parasitic infection of the bile ducts of the liver by Dicrocoelium dendriticum. The symptoms include cholecystitis,malignant tumor of descending colon,colon cancer
sigmoid colon cancer,A parasitic helminthiasis infectious disease that involves parasitic infection of the bile ducts of the liver by Dicrocoelium dendriticum. The symptoms include cholecystitis,malignant tumor of sigmoid colon,colon cancer
colon lymphoma,A large intestine cancer that is located_in the cecum.,Colonic Lymphoma,colon cancer
ascending colon cancer,A sensory system cancer located_in the eye that is characterized by uncontrolled cellular proliferation in the eye.,malignant tumor of ascending colon,colon cancer
obsolete diabetic oculopathy,A sensory system cancer located_in the eye that is characterized by uncontrolled cellular proliferation in the eye.,malignant tumor of ascending colon,colon cancer
transverse colon cancer,A carcinosarcoma that has_material_basis_in gland and muscle components.,malignant tumor of transverse colon,colon cancer
colon sarcoma,A colon cancer that arises from transformed cells of mesenchymal origin and is located_in the colon.,Colonic sarcoma,colon cancer
adenosquamous colon carcinoma,A colon carcinoma that derives_from squamous cells and gland-like cells.,Colonic Adenosquamous carcinoma,colon cancer
obsolete primary Fusobacteriaceae infectious disease,A colon carcinoma that derives_from squamous cells and gland-like cells.,Colonic Adenosquamous carcinoma,colon cancer
colonic L-cell glucagon-like peptide producing tumor,A disease of anatomical entity that has_material_basis_in hematopoietic cells.,Seemanova syndrome,colon cancer
