Name,Definition,Synonym,Output
mixed receptive-expressive language disorder,A communication disorder that involves both the receptive and expressive areas of communication may be affected in any degree,Vestibular neuritis,communication disorder
agnosia,A communication disorder that is a loss of ability to recognize objects,Dyspraxia syndrome,communication disorder
obsolete Caliciviridae infectious disease,A (+)ssRNA virus infectious disease that results_in infection in animals and humans,Dyspraxia syndrome,communication disorder
obsolete vesicular exanthema of swine,A viral infectious disease that results_in_formation_of vesicles located_in epithelium of the snout,VES,communication disorder
obsolete metastatic squamous cell carcinoma,A viral infectious disease that results_in_formation_of vesicles located_in epithelium of the snout,squamous cell carcinoma,communication disorder
obsolete tuberculous ascites,A viral infectious disease that results_in_formation_of vesicles located_in epithelium of the snout,Tuberculous ascites (disorder),communication disorder
obsolete secondary carcinoma,A viral infectious disease that results_in_formation_of vesicles located_in epithelium of the snout,secondary carcinoma NOS (disorder),communication disorder
obsolete rinderpest,A viral infectious disease that results_in infection in cattle,steppe murrain,communication disorder
obsolete canine distemper,A viral infectious disease that results_in infection located_in respiratory system,steppe murrain,communication disorder
obsolete commensal Bacteroidaceae infectious disease,A viral infectious disease that results_in infection located_in respiratory system,steppe murrain,communication disorder
obsolete primary Flavobacteriaceae infectious disease,A viral infectious disease that results_in infection located_in respiratory system,steppe murrain,communication disorder
speech disorder,A communication disorder that involves difficulty with the act of speech production.,Szary's disease of intrathoracic lymph nodes (disorder),communication disorder
obsolete childhood liver neoplasm,A communication disorder that involves difficulty with the act of speech production.,Szary's disease of intrathoracic lymph nodes (disorder),communication disorder
language disorder,A communication disorder that involves the processing of linguistic information.,tumor of Myocardium,communication disorder
