Name,Definition,Synonym,Output
complement factor I deficiency,A complement deficiency that is characterized by recurrent pyogenic bacterial infections that is the result of complement component 3 deficiency.,COMPLEMENT COMPONENT 3 INACTIVATOR DEFICIENCY,complement deficiency
obsolete primary Streptococcaceae infectious disease,A complement deficiency that is characterized by recurrent pyogenic bacterial infections that is the result of complement component 3 deficiency.,COMPLEMENT COMPONENT 3 INACTIVATOR DEFICIENCY,complement deficiency
obsolete primary streptococcal infectious disease,A complement deficiency that is characterized by recurrent pyogenic bacterial infections that is the result of complement component 3 deficiency.,COMPLEMENT COMPONENT 3 INACTIVATOR DEFICIENCY,complement deficiency
obsolete Yersinia pseudotuberculosis gastroenteritis,A complement deficiency that is characterized by recurrent pyogenic bacterial infections that is the result of complement component 3 deficiency.,COMPLEMENT COMPONENT 3 INACTIVATOR DEFICIENCY,complement deficiency
obsolete enteroaggregative Escherichia coli infectious disease,A complement deficiency that is characterized by recurrent pyogenic bacterial infections that is the result of complement component 3 deficiency.,enteroaggregative E.coli infection,complement deficiency
C1 inhibitor deficiency,A complement deficiency that is a functional deficiency in the complement component C1 inhibitor leading to hereditary angioedema (HAE) involving swelling due to leakage of fluid from blood vessels into connective tissue.,Quincke edema,complement deficiency
complement component 2 deficiency,A complement deficiency that is characterized by recurrent bacterial infections,Sohar-Crisponi syndrome,complement deficiency
complement component 4a deficiency,A complement deficiency that is characterized by recurrnet bascterial infections,congenital chloridorrhea,complement deficiency
complement component 4b deficiency,A complement deficiency that is characterized by recurrnet bascterial infections,congenital chloridorrhea,complement deficiency
complement component 6 deficiency,A complement deficiency that is characterized by recurrnet bascterial infections,congenital chloridorrhea,complement deficiency
complement component 7 deficiency,A complement deficiency that is characterized byrecurrnet bascterial infections,congenital chloridorrhea,complement deficiency
type I complement component 8 deficiency,A complement deficiency that is characterized by deficiency of the alpha subunit of complement protein 8,congenital chloridorrhea,complement deficiency
type II complement component 8 deficiency,A complement deficiency that is characterized by deficiency of the beta subunit of complement protein 8,congenital chloridorrhea,complement deficiency
complement component 9 deficiency,A complement deficiency that is characterized by recurrnet bascterial infections,congenital chloridorrhea,complement deficiency
atypical hemolytic-uremic syndrome,A complement deficiency that is characterized by mechanical hemolytic anemia,Lawrence syndrome,complement deficiency
complement component 5 deficiency,A complement deficiency that is characterized by susceptibility to recurrent bacterial infections especially to infections of enveloped organisms,C5 deficiency,complement deficiency
obsolete adult desmoplastic small round cell tumor,A desmoplastic small round-cell tumor that primarily is located_in the abdomen.,C5 deficiency,complement deficiency
complement component 3 deficiency,A complement deficiency that is characterized by deficiency of complement component 3 that increases susceptibility to infection and autoimmune diseases and has_material_basis_in autosomal recessive inheritance of mutation in the C3 gene on chromosome 19p13.3,C3 deficiency,complement deficiency
