Name,Definition,Synonym,Output
congenital myasthenic syndrome 22,A congenital myasthenic syndrome characterized by neonatal hypotonia,DIDMOAD,congenital myasthenic syndrome
congenital myasthenic syndrome 8,A congenital myasthenic syndrome characterized by autosomal recessive inheritance of prominent defects of both the pre- and postsynaptic regions and muscle weakness that has_material_basis_in homozygous or compound heterozygous mutation in the AGRN gene on chromosome 1p.,congenital myasthenic syndrome due to agrin deficiency,congenital myasthenic syndrome
congenital myasthenic syndrome 15,A congenital myasthenic syndrome characterized by onset of progressive fatigable proximal muscle weakness in childhood that has_material_basis_in compound heterozygous mutation in the ALG14 gene on chromosome 1p21.,congenital myasthenic syndrome 15 without tubular aggregates,congenital myasthenic syndrome
congenital myasthenic syndrome 7,A congenital myasthenic syndrome characterized by autosomal dominant inheritance of presynaptic defects with onset of symptoms in early childhood that has_material_basis_in heterozygous mutation in the SYT2 gene on chromosome 1q32.,congenital myasthenic syndrome 7 presynaptic,congenital myasthenic syndrome
congenital myasthenic syndrome 12,A congenital myasthenic syndrome characterized by autosomal recessive inheritance of onset of proximal muscle weakness in the first decade that generally responds well to acetylcholinesterase inhibitor treatment that has_material_basis_in homozygous or compound heterozygous mutation in the GFPT1 gene on chromosome 2p13.,congenital myasthenia 12 with tubular aggregates,congenital myasthenic syndrome
congenital myasthenic syndrome 20,A congenital myasthenic syndrome characterized by autosomal recessive inheritance of severe hypotonia associated with episodic apnea that has_material_basis_in homozygous or compound heterozygous mutation in the SLC5A7 gene on chromosome 2q12.,congenital myasthenic syndrome 20 presynaptic,congenital myasthenic syndrome
congenital myasthenic syndrome 1B,A congenital myasthenic syndrome characterized by defects in postsynaptic neuromuscular junctions with early-onset progressive muscle weakness that has_material_basis_in mutation in the CHRNA1 gene on chromosome 2q.,congenital myasthenic syndrome 1B,congenital myasthenic syndrome
congenital myasthenic syndrome 1A,A congenital myasthenic syndrome characterized by predominantly autosomal dominant inheritance of defects in postsynaptic neuromuscular junctions and early-onset progressive muscle weakness that has_material_basis_in mutation in the CHRNA1 gene on chromosome 2q.,congenital myasthenic syndrome type IIa,congenital myasthenic syndrome
congenital myasthenic syndrome 3C,A congenital myasthenic syndrome characterized by autosomal recessive inheritance of postsynaptic neuromuscular junction defects,congenital myasthenic syndrome 3C associated with acetylcholine receptor deficiency,congenital myasthenic syndrome
congenital myasthenic syndrome 3B,A congenital myasthenic syndrome characterized by autosomal recessive inheritance of postsynaptic neuromuscular junction defects resulting in rapid decay in endplate current and a failure to reach the threshold for depolarization and early onset progressive muscular weakness that has_material_basis_in homozygous or compound heterozygous mutation in the CHRND gene on chromosome 2q37.,congenital myasthenic syndrome 3B,congenital myasthenic syndrome
congenital myasthenic syndrome 3A,A congenital myasthenic syndrome characterized by autosomal dominant inheritance of postsynaptic neuromuscular junction defects resulting in prolonged synaptic currents and early-onset progressive muscle weakness that has_material_basis_in heterozygous mutation in the CHRND gene on chromosome 2q37.,congenital myasthenic syndrome 3A,congenital myasthenic syndrome
congenital myasthenic syndrome 5,A congenital myasthenic syndrome characterized by autosomal recessive inheritance of a defect within the synapse at the neuromuscular junction resulting in prolonged synaptic currents and action potentials that has_material_basis_in homozygous or compound heterozygous mutation in the COLQ gene on chromosome 3p25.,Engel congenital myasthenic syndrome,congenital myasthenic syndrome
congenital myasthenic syndrome 10,A congenital myasthenic syndrome characterized by autosomal inheritance of a postsynaptic defect affecting endplate maintenance of the NMJ and development of limb-girdle weakness in the first decade of life  that has_material_basis_in homozygous or compound heterozygous mutation in the DOK7 gene on chromosome 4p.,LGM,congenital myasthenic syndrome
