Name,Definition,Synonym,Output
conjunctival nevus,A sensory organ benign neoplasm that is located in the eye conjunctiva.,localized primitive neuroectodermal tumor,conjunctival disease
conjunctival degeneration,A vein disease that is characterized by impaired flow of blood through the veins.,Conjunctival xerosis,conjunctival disease
conjunctival vascular disease,A monogenic disease that is characterized by glomerulonephritis,vascular abnormalities of conjunctiva,conjunctival disease
conjunctival deposit,A prolapse of female genital organ that is characterized by a decrease in muscle mass and tissue in the pelvic floor,Perinatal bronchopulmonary dysplasia,conjunctival disease
obsolete nevus of ota,A prolapse of female genital organ that is characterized by a decrease in muscle mass and tissue in the pelvic floor,primary acquired melanosis of conjunctiva (disorder),conjunctival disease
ocular hyperemia,A parasitic helminthiasis infectious disease that involves infection of the intestine,hyperemia of conjunctiva,conjunctival disease
obsolete Conjunctival vascular disorder and cysts,A parasitic helminthiasis infectious disease that involves infection of the intestine,Conjunctival vascular disorder and cysts (disorder),conjunctival disease
inclusion conjunctivitis,A commensal bacterial infectious disease that results_in inflammation,Paratrachoma,conjunctival disease
conjunctivochalasis,A prion disease characterized by adult onset of memory loss,PRION DEMENTIA,conjunctival disease
conjunctival intraepithelial neoplasm,A pre-malignant neoplasm that is characterized by abnormal growth of dysplastic squamous epithelial cells on the surface of the eye that arises from the conjunctiva that is restricted within the epithelium.,Intraepithelial Neoplasia of Conjunctiva,conjunctival disease
conjunctival cancer,A pre-malignant neoplasm that is characterized by abnormal growth of dysplastic squamous epithelial cells on the surface of the eye that arises from the conjunctiva that is restricted within the epithelium.,neoplasm of conjunctiva,conjunctival disease
conjunctivitis,A conjunctival disease characterized by an inflammation of the conjunctiva,Madras eye,conjunctival disease
