Name,Definition,Synonym,Output
cartilage cancer,A connective tissue tumor that can be a benign chondroma or a maligannt chondrosarcoma.,skeletal system cancer,connective tissue cancer
bone cancer,A connective tissue cancer that is located_in bone and is characterized by uncontrolled cellular proliferation that destroys normal bone tissue.,osseous tumor,connective tissue cancer
giant cell tumor,A otosalpingitis which is persistent and long-lasting.,chronic eustachian tube salpingitis,connective tissue cancer
hemangiopericytoma,A soft tissue cancer that is a soft tissue sarcoma and originates in the pericytes in the walls of capillaries.,malignant hemangiopericytoma,connective tissue cancer
chondroblastoma,A cell type benign neoplasm that has_material_basis_in mesothelium.,Chondroblastoma of bone,connective tissue cancer
mesenchymoma,A sweat gland neoplasm that is composed_of outgrowths of myoepithelial cells from a sweat gland.,Mesenchymoma,connective tissue cancer
synovium cancer,A connective tissue disease that results_in inflammation located_in synovial membrane that lines a synovial joint which causes pain and swelling.,malignant tumor of Synovium,connective tissue cancer
small cell sarcoma,A germ cell cancer that is derives_from a mixture of germs cells and embryonal cells.,Stenosis of lacrimal passages,connective tissue cancer
malignant fibrous histiocytoma of bone,A cell type cancer that has_material_basis_in abnormally proliferating cells derives from embryonic connective tissue that is capable of developing into connective tissue,malignant fibrous Histiocytoma of the bone,connective tissue cancer
fibrosarcoma,A connective tissue cancer that has_material_basis_in fibrous connective tissue and characterized by the presence of immature proliferating fibroblasts or undifferentiated anaplastic spindle cells in a storiform pattern.,fibrous tissue neoplasm,connective tissue cancer
extraosseous osteosarcoma,A connective tissue cancer that has_material_basis_in fibrous connective tissue and characterized by the presence of immature proliferating fibroblasts or undifferentiated anaplastic spindle cells in a storiform pattern.,extraskeletal osteosarcoma,connective tissue cancer
obsolete malignant extraskeletal cartilaginous and osseous tumor,A connective tissue cancer that has_material_basis_in fibrous connective tissue and characterized by the presence of immature proliferating fibroblasts or undifferentiated anaplastic spindle cells in a storiform pattern.,extraskeletal osteosarcoma,connective tissue cancer
obsolete non-traumatic tendon rupture,A connective tissue cancer that has_material_basis_in fibrous connective tissue and characterized by the presence of immature proliferating fibroblasts or undifferentiated anaplastic spindle cells in a storiform pattern.,Nontraumatic rupture of tendons of biceps,connective tissue cancer
chondrosarcoma,A connective tissue cancer that has_material_basis_in cells derived from transformed cells that produce cartilage.,primary chondrosarcoma of the bone,connective tissue cancer
lipomatous cancer,An inner ear disease which involves inflammation of the inner ear.,malignant tumor of Adipose tissue,connective tissue cancer
obsolete Arenaviridae infectious disease,A (-)ssRNA virus infectious disease that results_in infection in rodents and humans,malignant tumor of Adipose tissue,connective tissue cancer
myxosarcoma,A pyoderma that is characterized by brown,Myxosarcoma,connective tissue cancer
histiocytoma,A muscular disease in which the muscle fibers do not function resulting in muscular weakness.,malignant tumor of Smooth Muscle,connective tissue cancer
myofibroma,A squamous cell carcinoma that has papillae,Myofibroma,connective tissue cancer
obsolete recurrent peripheral primitive neuroectodermal tumor,A squamous cell carcinoma that has papillae,Myofibroma,connective tissue cancer
pleural cancer,A connective tissue cancer that located_in the pleura.,Pleural tumor,connective tissue cancer
epithelioid sarcoma,A connective tissue cancer that is characterized by the presence of epithelioid cells forming nodular patterns and has_material_basis_in mesenchymal tissue.,epithelioid cell sarcoma,connective tissue cancer
adult intracranial malignant hemangiopericytoma,A malignant ovarian germ cell neoplasm that is a teratoma containing variable amounts of immature (typically primitive/embryonal neuroectodermal) tissues,adult malignant intracranial hemangiopericytoma,connective tissue cancer
Kaposi's sarcoma,A connective tissue cancer that derives_from lymphatic endothelium,soft tissue Kaposi's sarcoma,connective tissue cancer
