Name,Definition,Synonym,Output
arterial tortuosity syndrome,A connective tissue disease that is characterized by elongation and generalized tortuosity of the major arteries including the aorta.,infantile arteriosclerosis,connective tissue disease
funisitis,A connective tissue disease that is an inflammation of the connective tissue of the umbilical cord.,brachyrachia,connective tissue disease
connective tissue benign neoplasm,A musculoskeletal system benign neoplasm that is located_in connective tissue.,tumor of the soft tissue,connective tissue disease
ossification of the posterior longitudinal ligament of spine,A connective tissue disease characterized by ectopic ossification of the posterior longitudinal spinal ligament resulting in spinal cord compression,OPLL,connective tissue disease
bone disease,A connective tissue disease that affects the structure or development of bone or causes an impairment of normal bone function.,skeletal disease,connective tissue disease
ainhum,A connective tissue disease that results in increasing fibrous constriction and ultimately in spontaneous amputation of the toes and especially the little toes. A painful constriction of the base of the fifth toe frequently followed by bilateral spontaneous amputation (autoamputation) a few years later.,Dactylolysis spontanea,connective tissue disease
cartilage disease,A dementia that is characterized by the development of abnormal proteinaceous (alpha-synuclein) cytoplasmic inclusions,Chondropathy,connective tissue disease
obsolete Synovial,A dementia that is characterized by the development of abnormal proteinaceous (alpha-synuclein) cytoplasmic inclusions,Unspecified disorder of synovium,connective tissue disease
fibrodysplasia ossificans progressiva,A connective tissue disease that is characterized by progressive ossification of skeletal muscle,Stone Man Syndrome,connective tissue disease
frozen shoulder,A connective tissue disease characterized by restriction of both active and passive range of motion located_in the scapulohumeral joint and has_symptom pain and has_symptom restricted range of motion.,Adhesive capsulitis of shoulder,connective tissue disease
obsolete residual schizophrenia subchronic state with acute exacerbation,A connective tissue disease characterized by restriction of both active and passive range of motion located_in the scapulohumeral joint and has_symptom pain and has_symptom restricted range of motion.,Adhesive capsulitis of shoulder,connective tissue disease
obsolete shared paranoid disease,A connective tissue disease characterized by restriction of both active and passive range of motion located_in the scapulohumeral joint and has_symptom pain and has_symptom restricted range of motion.,Shared psychotic disorder,connective tissue disease
obsolete simple paranoid state,A connective tissue disease characterized by restriction of both active and passive range of motion located_in the scapulohumeral joint and has_symptom pain and has_symptom restricted range of motion.,Paranoid state,connective tissue disease
ochronosis,A connective tissue disease characterized by bluish-brown discoloration of connective tissues that develops from the deposition of homogentisic acid and subsequent oxidation and polymerization reactions.,metabolic syndrome X,connective tissue disease
Marfan syndrome,A connective tissue disease that is characterized by tall stature,Marfan's syndrome,connective tissue disease
rheumatic disease,An autoimmune hypersensitivity disease that involves inflammation or pain in the muscles,Ethanol abuse,connective tissue disease
connective tissue cancer,A musculoskeletal system cancer that is located_in connective tissue.,Tumour of connective tissue,connective tissue disease
obsolete impaired mobility of ear ossicles except malleus,A musculoskeletal system cancer that is located_in connective tissue.,Impaired mobility of other ear ossicles,connective tissue disease
enthesopathy,A connective tissue disease characterized by damage of tissues located_in the entheses,anxiety state,connective tissue disease
synovitis,A connective tissue disease that results_in inflammation located_in synovial membrane that lines a synovial joint which causes pain and swelling.,villous tenosynovitis,connective tissue disease
pseudoxanthoma elasticum,A connective tissue disease that is characterized by the accumulation of deposits of calcium and other minerals in elastic fibers,Gronblad-Strandberg syndrome,connective tissue disease
mucinoses,A connective tissue disease characterized by accumulation of glycosaminoglycan located_in the dermal tissue.,Buschke's scleredema,connective tissue disease
cellulitis,A skin disease where there is a diffuse infection of connective tissue with severe inflammation of dermal and subcutaneous layers of the skin. Cellulitis can be caused by normal skin flora or by exogenous bacteria,Necrobiosis lipoidica,connective tissue disease
dental pulp disease,A fallopian tube cancer that derives_from germ cells.,pulp disorder,connective tissue disease
Volkmann contracture,A connective tissue disease that develops from prolonged ischemia and results in permanent necrosis,Volkmann's ischemic contracture,connective tissue disease
lipodystrophy,A connective tissue disease that is characterized by  marked reduction,Nephrogenic adenoma of urethra,connective tissue disease
mediastinitis,A connective tissue disease characterized by inflammation located_in the mediastinum,Gestational Choriocarcinoma of the fallopian tube,connective tissue disease
obsolete recurrent vulva cancer,A connective tissue disease characterized by inflammation located_in the mediastinum,recurrent Vulvar carcinoma,connective tissue disease
collagen disease,A connective tissue disease that characterized by connective tissue disease that has_material_basis in inheritable defects in collagen.,collagen disorder,connective tissue disease
obsolete Sezary's disease involving lymph nodes of head,A connective tissue disease that characterized by connective tissue disease that has_material_basis in inheritable defects in collagen.,Szary's disease of lymph nodes of head,connective tissue disease
plantar fascial fibromatosis,A connective tissue disease characterized by progressive fibrosis and thickening located_in the palmar fascia and has_symptom early painless nodules,Plantar fascial fibromatosis,connective tissue disease
fasciitis,A connective tissue disease characterized by inflammation located_in the fascia.,Krukenberg tumor,connective tissue disease
interstitial keratitis,A connective tissue disease characterized by corneal scarring that develops from non-suppurative inflammation located_in the corneal stroma,Oro-facial dyskinesia,connective tissue disease
periostitis,A connective tissue disease characterized by inflammation located_in the periosteum of the bone.,Null cell acute lymphoblastic leukemia,connective tissue disease
