Name,Definition,Synonym,Output
pterygium,A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation.,surfer's eye,corneal disease
sclerocornea,A corneal disease in which the cornea blends with sclera,isolated congenital sclerocornea,corneal disease
cornea plana,A corneal disease that is characterized by a flat cornea where the radus of curvature is less than 43 D.,flat cornea,corneal disease
megalocornea,A corneal disease that is characterized by a bilaterally enlarged corneal diameter without an increase in intraocular pressure and that has_material_basis_in mutation in the CHRDL1 gene.,congenital anterior megalophthalmia,corneal disease
Peters anomaly,A corneal disease characterized by a central corneal leukoma and absence of the posterior corneal stroma and Descemet membrane that has_material_basis_in mutation in the PAX6 gene on chromosome 11p13,familial cavernous angioma,corneal disease
keratoconus,A corneal disease characterized by structural changes within the cornea causing it to thin and change,conical cornea,corneal disease
pseudopterygium,A female reproductive system disease that is located_in the ovary.,chronic Glomerulonephritis with Lesion of Membranous Glomerulonephritis,corneal disease
corneal edema,A female reproductive system disease that is located_in the ovary.,Corneal oedema,corneal disease
corneal deposit,A commensal Clostridium infectious disease that is caused by ingestion of food contaminated with Clostridium perfringens,Deposits - cornea,corneal disease
Bowman's membrane folds or rupture,A syndrome that is a neurological disorder affecting the pupil of the eye and the autonomic nervous system. It is characterized by one eye with a pupil that is larger than normal and constricts slowly in bright light (tonic pupil),Bowman membrane folds or rupture,corneal disease
corneal degeneration,A prolapse of female genital organ that is characterized by the descent of the urethra from the normal anatomic location toward or through the vaginal opening.,Urethrocele,corneal disease
corneal staphyloma,A coccidiosis that involves infection of the intestine with the parasitic protozoan Cyclospora cayetanensis,Cementation hyperplasia,corneal disease
corneal argyrosis,A primary bacterial infectious disease that results in septicemic infection,Argyrosis of cornea,corneal disease
corneal ectasia,A Pseudomonas infectious disease that is caused by a Gram-negative bacterium Pseudomonas aeruginosa resulting in pulmonary edema. This bacterium releases immunogenic bacterial components that can gain access to airway epithelium and immune cells in the lung thus causing airway inflammation. P. aeruginosa is the common cause of hospital acquired and ventilator-associated pneumonias.,Riedel fibrosing thyroiditis,corneal disease
obsolete Opisthorchis viverrini infectious disease,A opisthorchiasis that involves parasitic infection of the liver,Opisthorchis Viverrini Infection,corneal disease
obsolete congenital syphilitic meningitis,A opisthorchiasis that involves parasitic infection of the liver,Congenital syphilitic meningitis (disorder),corneal disease
keratopathy,A sweat gland disease that is characterized by inflammation of the apocrine sweat glands and has_symptom erythema,Hydradenitis,corneal disease
corneal dystrophy,A corneal dystrophy that is characterized by corneal haze,MACULAR DYSTROPHY,corneal disease
obsolete primary Enterobacteriaceae infectious disease,A corneal dystrophy that is characterized by corneal haze,MACULAR DYSTROPHY,corneal disease
keratitis,A corneal disease that is characterized by inflammation of the cornea.,UREMIA OF renal ORIGIN,corneal disease
