Name,Definition,Synonym,Output
coronary artery vasospasm,A nephrosis characterized by marked increase in glomerular protein permeability resulting in marked elevation of urine protein levels,Coronary Vasospasm,coronary artery disease
coronary artery anomaly,A nephrosis characterized by marked increase in glomerular protein permeability resulting in marked elevation of urine protein levels,Coronary artery anomaly,coronary artery disease
coronary thrombosis,A nephrosis characterized by marked increase in glomerular protein permeability resulting in marked elevation of urine protein levels,Coronary artery thrombosis,coronary artery disease
obsolete degenerative changes of ciliary body,A nephrosis characterized by marked increase in glomerular protein permeability resulting in marked elevation of urine protein levels,degenerative changes of ciliary body (disorder),coronary artery disease
coronary stenosis,A kidney cancer that is located in the kidney's connective tissue.,Coronary artery stenosis,coronary artery disease
myocardial infarction,A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.,Myocardial infarct,coronary artery disease
intermediate coronary syndrome,An in situ carcinoma that is located_in the trachea.,Worsening angina,coronary artery disease
obsolete malignant histiocytosis involving intrapelvic lymph nodes,An in situ carcinoma that is located_in the trachea.,malignant histiocytosis of intrapelvic lymph nodes (disorder),coronary artery disease
obsolete allergic gastroenteritis and colitis,An in situ carcinoma that is located_in the trachea.,malignant histiocytosis of intrapelvic lymph nodes (disorder),coronary artery disease
obsolete malignant histiocytosis involving intrathoracic lymph nodes,An in situ carcinoma that is located_in the trachea.,malignant histiocytosis of intrathoracic lymph nodes (disorder),coronary artery disease
obsolete Measles virus otitis media,A Measles virus infectious disease that results_in inflammation located_in middle ear,postmeasles otitis media,coronary artery disease
