Name,Definition,Synonym,Output
vestibulocochlear nerve disease,An organ system cancer located_in the genitourinary system that is characterized by uncontrolled cellular proliferation in reproductive and urinary organs.,acoustic nerve disease,cranial nerve disease
ocular motility disease,A migraine that is characterized by migraine headaches that are not accompanied by an aura.,eye movement disorder,cranial nerve disease
obsolete Posterior synechiae,A migraine that is characterized by migraine headaches that are not accompanied by an aura.,Posterior synechiae of iris,cranial nerve disease
trochlear nerve disease,A hypolipoproteinemia that is characterized by an inablility to fully absorb dietary fats,Trochlear nerve disorder,cranial nerve disease
facial nerve disease,A mitral valve disease that is characterized by the narrowing of the orifice of the mitral valve of the heart.,Mitral stenosis,cranial nerve disease
optic nerve disease,A cranial nerve disease that is located_in the optic nerve.,optic neuropathy,cranial nerve disease
cranial nerve neoplasm,A central nervous system cancer develops from schwann cells located_in cranial nerves,neoplasm of cranial nerve,cranial nerve disease
glossopharyngeal nerve disease,A cranial nerve disease that is located_in the ninth cranial nerve or its nuclei in the medulla.,ninth cranial nerve disease,cranial nerve disease
cranial nerve palsy,A bone disease that is located_in the joint.,Cranial nerve Paralysis,cranial nerve disease
jaw-winking syndrome,A fallopian tube adenocarcinoma that derives_from epithelial cells originating in glandular tissue forming serous lesions.,Pterygoid-levator synkinesis,cranial nerve disease
trigeminal nerve disease,A breast adenocarcinoma that is characterized by a syncitial growth pattern and high grade cytology.,pulpal calcifications,cranial nerve disease
obsolete anaplastic intraspinal meningioma,A breast adenocarcinoma that is characterized by a syncitial growth pattern and high grade cytology.,malignant Intraspinal meningioma,cranial nerve disease
third cranial nerve disease,An eye and adnexa disease that is located_in the eye.,Third cranial nerve disease,cranial nerve disease
