Name,Definition,Synonym,Output
hemorrhagic cystitis,A cystitis that is characterized by dysuria,obstructive sleep apnea syndrome,cystitis
prostatocystitis,An osteochondrodysplasia that has_material_basis_in a deficiency in type-I collagen which results_in brittle bones and defective connective tissue.,Alcoholic hepatitis,cystitis
obsolete bacterial prostatitis,An osteochondrodysplasia that has_material_basis_in a deficiency in type-I collagen which results_in brittle bones and defective connective tissue.,Alcoholic hepatitis,cystitis
acute cystitis,A cystitis characterized by a sudden onset or severe symptoms.,urinary tract infection,cystitis
obsolete tuberculous lung fibrosis,A pulmonary tuberculosis in which tissue deep in the lungs becomes thick and stiff (scarred).,Tuberculous fibrosis of lung,cystitis
obsolete sensory disorder of eyelid,A pulmonary tuberculosis in which tissue deep in the lungs becomes thick and stiff (scarred).,Sensory disorder of eyelid (disorder),cystitis
diphtheritic cystitis,A cystits which involves inflammation and formation of a dense fibrous false membrane on the mucous membrane of the bladder.,Anterior nasal diphtheria (disorder),cystitis
obsolete pseudomembranous diphtheritic conjunctivitis,A pseudomembranous conjunctivitis characterized by swollen and reddened,Pseudomembranous Diphtheritic Conjunctivitis,cystitis
obsolete diphtheritic myocarditis,A myocarditis characterized by dilated cardiomyopathy and a variety of types of dysrhythmia and conduction disturbances. It is caused by Corynebacterium diphtheriae.,Diphtheritic myocarditis (disorder),cystitis
obsolete nasopharyngeal diphtheria,A diphtheria that involves membrane formation from the faucial tonsil areas over the pharyngeal wall and into the nasopharynx. Severe disease may cause marked edema of the submandibular areas and the anterior neck along with lymphadenopathy,Nasopharyngeal diphtheria (disorder),cystitis
trigonitis,A facial nerve disease characterized by congenital,Oromandibular-limb hypogenesis spectrum,cystitis
interstitial cystitis,A leukodystrophy characterized by recurrent subcortical ischemic stroke and cognitive impairment.,ulcerative cystitis,cystitis
chronic cystitis,A bladder disease that is characterized by inflammation of the bladder.,Behcet syndrome arthropathy,cystitis
radiation cystitis,A hematologic cancer that is located in the blood or bone marrow that doesn't respond to treatment.,Irradiation cystitis,cystitis
cystitis cystica,A cysititis that is characterized by hyperplasia of bladder submucosa and cyst formation caused by chronic irritation of the bladder.,ampullary small cell carcinoma,cystitis
