Name,Definition,Synonym,Output
age related macular degeneration,A degeneration of macula and posterior pole that is characterized by a loss of vision in the center of the visual field (the macula) resulting from damage to the retina and resulting in blurring of the sharp central vision.,Senile macular retinal degeneration,degeneration of macula and posterior pole
Kuhnt-Junius degeneration,A degeneration of macula and posterior pole that is characterized by a loss of vision in the center of the visual field (the macula) resulting from damage to the retina and resulting in blurring of the sharp central vision.,Wet senile macular retinal degeneration,degeneration of macula and posterior pole
obsolete premature labor,A degeneration of macula and posterior pole that is characterized by a loss of vision in the center of the visual field (the macula) resulting from damage to the retina and resulting in blurring of the sharp central vision.,Premature labour,degeneration of macula and posterior pole
obsolete disorganized type schizophrenia chronic state with acute exacerbation,A degeneration of macula and posterior pole that is characterized by a loss of vision in the center of the visual field (the macula) resulting from damage to the retina and resulting in blurring of the sharp central vision.,Premature labour,degeneration of macula and posterior pole
hole retinal cyst,A nutritional deficiency disease characterized by noncancerous enlargement of the thyroid gland and has_material_basis_in iodine deficiency.,Macular pseudohole retinal cyst,degeneration of macula and posterior pole
obsolete transsexuality with heterosexual history,A nutritional deficiency disease characterized by noncancerous enlargement of the thyroid gland and has_material_basis_in iodine deficiency.,Transsexuality with heterosexual history (disorder),degeneration of macula and posterior pole
cystoid macular retinal degeneration,A perichondritis of auricle which is persistent and long-lasting.,Cystoid macular degeneration of retina,degeneration of macula and posterior pole
preretinal fibrosis,A pulmonary tuberculosis involving inflammation that causes extensive thickening of the walls of the trachea with luminal narrowing.,Macular retinal puckering,degeneration of macula and posterior pole
retinal drusen,A cervix disease that is characterized by inflammation of the cervix.,MACULAR DYSTROPHY,degeneration of macula and posterior pole
toxic maculopathy,An extrapulmonary tuberculosis that results in formation of tiny lesions in all the organs.,Toxic maculopathy of retina,degeneration of macula and posterior pole
