Name,Definition,Synonym,Output
erysipelas,A connective tissue disease that results in increasing fibrous constriction and ultimately in spontaneous amputation of the toes and especially the little toes. A painful constriction of the base of the fifth toe frequently followed by bilateral spontaneous amputation (autoamputation) a few years later.,Dactylolysis spontanea,dermatitis
acrodermatitis,A dermatitis that selectively affects the hands and feet.,vascular disorder of liver,dermatitis
contact dermatitis,A contact dermatitis that is characterized by a cutaneous inflammatory reaction to repeated contact with an irritant substance,Dermatitis,dermatitis
photosensitivity disease,A skin disease that is characterized by distinctive skin changes,Photodermatitis,dermatitis
neurodermatitis,An embryonal cancer that is a type of germ cell tumour that is located_in the ovaries or located_in the testes.,primary extragonadal embryonal carcinoma,dermatitis
atopic dermatitis,A dermatitis that is a chronically relapsing inflammatory allergic response located_in the skin that causes itching and flaking.,Besnier's prurigo,dermatitis
granuloma annulare,An interstitial lung disease that is characterized by destruction,Granulome annulare,dermatitis
pyoderma,Pyoderma is a skin infectious disease where the infection is pyogenic causing the formation of pus.,meningioma of the Posterior Cranial Fossa,dermatitis
obsolete adult soft tissue sarcoma,A sarcoma that affects adults and is located_in the muscle,adult sarcoma of the soft tissue,dermatitis
granulomatous dermatitis,A Paramyxoviridae infectious disease that results_in infection in domestic animals and humans,Solitary reticulohistiocytoma,dermatitis
pustulosis of palm and sole,A Paramyxoviridae infectious disease that results_in infection in domestic animals and humans,Pustular psoriasis of the palms and/or soles,dermatitis
acneiform dermatitis,A Paramyxoviridae infectious disease that results_in infection in domestic animals and humans,Pustular psoriasis of the palms and/or soles,dermatitis
dermatosis papulosa nigra,A neuropathy that affect the nerves that control the voluntary muscles.,Dermatosis papulosa nigra,dermatitis
obsolete cervical glandular tumor,A neuropathy that affect the nerves that control the voluntary muscles.,Dermatosis papulosa nigra,dermatitis
spongiotic dermatitis,A neuropathy that affect the nerves that control the voluntary muscles.,Spongiotic dermatitis,dermatitis
seborrheic dermatitis,A dermatitis that is an inflammatory skin condition resulting in flaky,SKIN SEBORRHEIC,dermatitis
obsolete Hodgkin's granuloma involving lymph nodes of head,A dermatitis that is an inflammatory skin condition resulting in flaky,Hodgkin's granuloma of lymph nodes of head,dermatitis
neurotic excoriation,An esophageal disease that is characterized by an inability of the esophagus to move food toward the stomach resulting from the lower esophogeal sphincter not fully relaxing during swallowing.,Factitious skin disease,dermatitis
