Name,Definition,Synonym,Output
dilated cardiomyopathy 1C,A dilated cardiomyopathy that has_material_basis_in mutation in the LDB3 gene on chromosome 10q23.2.,dilated cardiomyopathy 1C with or without left ventricular noncompaction,dilated cardiomyopathy
dilated cardiomyopathy 1CC,A dilated cardiomyopathy that has_material_basis_in mutation in the NEXN gene on chromosome 1p31.1.,CMD1CC,dilated cardiomyopathy
dilated cardiomyopathy 1A,A dilated cardiomyopathy that has_material_basis_in mutation in the LMNA gene on chromosome 1q21.,familial dilated cardiomyopathy with conduction defect due to LMNA mutation,dilated cardiomyopathy
dilated cardiomyopathy 1D,A dilated cardiomyopathy that has_material_basis_in mutation in the TNNT2 gene on chromosome 1q32.,CMD1D,dilated cardiomyopathy
dilated cardiomyopathy 1V,A dilated cardiomyopathy that has_material_basis_in mutation in the PSEN2 gene on chromosome 1q31-q42.,CMD1V,dilated cardiomyopathy
dilated cardiomyopathy 1AA,A dilated cardiomyopathy that has_material_basis_in mutation in the ACTN2 gene on chromosome 1q43.,dilated cardiomyopathy 1AA with or without left ventricular noncompaction,dilated cardiomyopathy
dilated cardiomyopathy 1H,A dilated cardiomyopathy that has_material_basis_in variation in the chromosome region 2q14-q22.,dilated cardiomyopathy with conduction defect,dilated cardiomyopathy
dilated cardiomyopathy 1G,A dilated cardiomyopathy that has_material_basis_in mutation in the TTN gene on chromosome 2q31.,CMD1G,dilated cardiomyopathy
dilated cardiomyopathy 1I,A dilated cardiomyopathy that has_material_basis_in mutation in the DES gene on chromosome 2q35.,CMD1I,dilated cardiomyopathy
dilated cardiomyopathy 1NN,A dilated cardiomyopathy that has_material_basis_in mutation in the RAF1 gene on chromosome 3p25.,CMD1NN,dilated cardiomyopathy
dilated cardiomyopathy 1E,A dilated cardiomyopathy that has_material_basis_in mutation in the SCN5A gene on chromosome 3p22.2.,dilated cardiomyopathy with conduction disorder and arrhythmia,dilated cardiomyopathy
dilated cardiomyopathy 1Z,A dilated cardiomyopathy that has_material_basis_in mutation in the TNNC1 gene on chromosome 3p.,CMD1Z,dilated cardiomyopathy
dilated cardiomyopathy 1GG,A dilated cardiomyopathy that has_material_basis_in mutation in the SDHA gene on chromosome 5p15.33.,CMD1GG,dilated cardiomyopathy
