Name,Definition,Synonym,Output
thoracic disease,A disease of anatomical entity that is located_in the thoracic cavity.,lower grade glioma,disease of anatomical entity
cardiovascular system disease,A disease of anatomical entity which occurs in the blood,disease of subdivision of hemolymphoid system,disease of anatomical entity
obsolete Pars plana exudative cyst,A disease of anatomical entity which occurs in the blood,Exudative cyst of pars plana (disorder),disease of anatomical entity
obsolete idiopathic urticaria,A disease of anatomical entity which occurs in the blood,Idiopathic urticaria (disorder),disease of anatomical entity
reproductive system disease,A disease of anatomical entity that is located_in reproductive system organs.,genital system disease,disease of anatomical entity
respiratory system disease,A disease of anatomical entity that located_in the respiratory system which extends from the nasal sinuses to the diaphragm.,lung involvement in systemic sclerosis,disease of anatomical entity
integumentary system disease,A disease of anatomical entity that is located_in the integumentary system comprising the skin and its appendages.,Single major depressive episode,disease of anatomical entity
musculoskeletal system disease,A disease of anatomical entity that occurs in the muscular and/or skeletal system.,non-syndromic ichthyosis,disease of anatomical entity
urinary system disease,A disease of anatomical entity that is located_in kidney,urinary tract disease,disease of anatomical entity
endocrine system disease,A disease of anatomical entity that is located_in endocrine glands which secretes a type of hormone directly into the bloodstream to regulate the body.,Obliterative bronchiolitis,disease of anatomical entity
obsolete ear tuberculosis,A disease of anatomical entity that is located_in endocrine glands which secretes a type of hormone directly into the bloodstream to regulate the body.,tuberculosis of ear,disease of anatomical entity
immune system disease,A disease of anatomical entity that is located_in the immune system.,PANCREATITIS NECROTIZING,disease of anatomical entity
hematopoietic system disease,A disease of anatomical entity that has_material_basis_in hematopoietic cells.,Hematological disease,disease of anatomical entity
gastrointestinal system disease,A disease of anatomical entity that is located_in the gastrointestinal tract.,GIT disease,disease of anatomical entity
obsolete AIDS-related oropharyngeal candidiasis,An oropharyngeal candidiasis that involves fungal infection of the oropharynx by Candida species in AIDS patients.,GIT disease,disease of anatomical entity
obsolete human papilloma virus related endocervical adenocarcinoma,A human papillomavirus related adenocarcinoma that results_in infection,HPV-Related Endocervical adenocarcinoma,disease of anatomical entity
obsolete Cytomegalovirus esophagitis,A Cytomegalovirus infectious disease that results_in infection located_in esophagus,CMV esophagitis,disease of anatomical entity
nervous system disease,A disease of anatomical entity that is located_in the central nervous system or located_in the peripheral nervous system.,Lymphocyte-Depleted Classical Hodgkin Lymphoma,disease of anatomical entity
