Name,Definition,Synonym,Output
developmental disorder of mental health,A disease of mental health that occur during a child's developmental period between birth and age 18 resulting in retarding of the child's psychological or physical development.,thymoma with hypogammaglobulinemia,disease of mental health
sexual disorder,A disease of mental health that involves the impairment in normal sexual functioning.,PDD,disease of mental health
dissociative disorder,A disease of mental health in which the normally well-integrated functions of memory,dissociative reaction,disease of mental health
impulse control disorder,A disease of mental health that involves a failure to resist an impulsive act or behaviour that may be harmful to self or others.,dissociative reaction,disease of mental health
gender identity disorder,A disease of mental health that involves a conflict between a person's actual physical gender and the gender that person identifies himself or herself as.,Scrotal varices,disease of mental health
personality disorder,A disease of mental health that involve long-term patterns of thoughts and behaviors that cause serious problems with relationships and work.,character disorder,disease of mental health
obsolete residual schizophrenia chronic state with acute exacerbation,A disease of mental health that involve long-term patterns of thoughts and behaviors that cause serious problems with relationships and work.,character disorder,disease of mental health
cognitive disorder,A disease of mental health that affects cognitive functions including memory processing,Organic Mental disorder,disease of mental health
factitious disorder,A disease of mental health where symptoms are deliberately produced,Munchausen syndrome,disease of mental health
substance-related disorder,A disease of mental health involving the abuse or dependence on a substance that is ingested in order to produce a high,Colonic mucinous adenocarcinoma,disease of mental health
somatoform disorder,A disease of mental health that involves physical symptoms suggesting a physical illness where the biological or medical cause of the symptoms is indeterminate.,psychosomatic disorder,disease of mental health
obsolete Iris or ciliary body disorder,A disease of mental health that involves physical symptoms suggesting a physical illness where the biological or medical cause of the symptoms is indeterminate.,psychosomatic disorder,disease of mental health
adjustment disorder,A disease of mental health that is an abnormal and excessive emotional and behavioral reaction to a life stress that develops within 3 months of a life stress,adjustment reaction,disease of mental health
obsolete neoplasm of body of uterus,A disease of mental health that is an abnormal and excessive emotional and behavioral reaction to a life stress that develops within 3 months of a life stress,tumor of Corpus Uteri,disease of mental health
obsolete central nervous system soft tissue neoplasm,A disease of mental health that is an abnormal and excessive emotional and behavioral reaction to a life stress that develops within 3 months of a life stress,soft tissue tumor of the CNS,disease of mental health
obsolete meninges gliomatosis,A disease of mental health that is an abnormal and excessive emotional and behavioral reaction to a life stress that develops within 3 months of a life stress,Gliomatosis of the meninges,disease of mental health
obsolete malignant neoplasm of meninges,A disease of mental health that is an abnormal and excessive emotional and behavioral reaction to a life stress that develops within 3 months of a life stress,malignant tumor of meninges (disorder),disease of mental health
sleep disorder,A disease of mental health that involves disruption of sleep patterns.,Non-organic sleep disorder,disease of mental health
