Name,Definition,Synonym,Output
disease of metabolism,A disease that involving errors in metabolic processes of building or degradation of molecules.,metabolic disease,disease
disease by infectious agent,A disease that is the consequence of the presence of pathogenic microbial agents,infectious disease,disease
physical disorder,A disease that has_material_basis_in a genetic abnormality,skeletal disease,disease
disease of cellular proliferation,A disease that is characterized by abnormally rapid cell division.,neoplasm,disease
disease of mental health,A disease that involves a psychological or behavioral pattern generally associated with subjective distress or disability that occurs in an individual,genital system disease,disease
syndrome,A disease characterized by a group of signs and symptoms that occur together and characterize a particular abnormality.,Thoracic or lumbar spondylosis with myelopathy,disease
genetic disease,A disease that has_material_basis_in genetic variations in the human genome.,herpes simplex esophagitis,disease
obsolete prostate basal cell carcinoma,A disease that has_material_basis_in genetic variations in the human genome.,basal cell carcinoma of the prostate,disease
disease of anatomical entity,A disease that manifests in a defined anatomical structure.,recurrent squamous cell carcinoma of the lung,disease
obsolete lymphoid tissue disease,A disease that manifests in a defined anatomical structure.,recurrent squamous cell carcinoma of the lung,disease
